Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 13465004 / 1,0.16,yes,145,yes,2022-06,1: Weekday (M-Th),1: Early AM (12am-6am),35,17,34,22.144,0.769,5.65,0.08,7,23,28
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 13465004 / 1,0.16,yes,145,yes,2022-06,1: Weekday (M-Th),2: Peak AM (6am-10am),299,18,31,22.144,0.831,47.84,0.44,9,27,30
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 13465004 / 1,0.16,yes,145,yes,2022-06,1: Weekday (M-Th),3: Mid-Day (10am-3pm),538,18,32,22.144,0.801,85.88,0.96,8,26,29
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 13465004 / 1,0.16,yes,145,yes,2022-06,1: Weekday (M-Th),4: Peak PM (3pm-7pm),496,18,32,22.144,0.806,79.26,0.86,8,26,29
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 13465004 / 1,0.16,yes,145,yes,2022-06,1: Weekday (M-Th),5: Late PM (7pm-12am),336,17,33,22.144,0.782,53.65,0.68,8,25,29
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 13465004 / 1,0.16,yes,145,yes,2022-06,2: Friday (F-F),1: Early AM (12am-6am),51,19,30,22.144,0.863,8.12,0.06,10,25,28
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 13465004 / 1,0.16,yes,145,yes,2022-06,2: Friday (F-F),2: Peak AM (6am-10am),304,18,32,22.144,0.808,48.65,0.52,9,26,29
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 13465004 / 1,0.16,yes,145,yes,2022-06,2: Friday (F-F),3: Mid-Day (10am-3pm),602,17,34,22.144,0.774,96.18,1.27,8,26,29
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 13465004 / 1,0.16,yes,145,yes,2022-06,2: Friday (F-F),4: Peak PM (3pm-7pm),637,18,32,22.144,0.803,101.79,1.13,8,25,29
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 13465004 / 1,0.16,yes,145,yes,2022-06,2: Friday (F-F),5: Late PM (7pm-12am),453,16,35,22.144,0.734,72.43,1.18,7,24,27
