Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Texas east leg,yes,235,yes,2023-06,1: Monday (M-M),1: Early AM (12am-6am),43,15,16.176,0.947,10,13,19,31
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Texas east leg,yes,235,yes,2023-06,1: Monday (M-M),2: Peak AM (6am-10am),410,12,16.176,0.756,2,7,17,20
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Texas east leg,yes,235,yes,2023-06,1: Monday (M-M),3: Mid-Day (10am-3pm),702,13,16.176,0.811,6,9,17,20
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Texas east leg,yes,235,yes,2023-06,1: Monday (M-M),4: Peak PM (3pm-7pm),738,13,16.176,0.822,6,9,17,19
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Texas east leg,yes,235,yes,2023-06,1: Monday (M-M),5: Late PM (7pm-12am),304,13,16.176,0.814,5,8,17,21
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Texas east leg,yes,235,yes,2023-06,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),29,14,16.176,0.844,10,11,18,19
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Texas east leg,yes,235,yes,2023-06,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),406,13,16.176,0.79,4,7,18,20
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Texas east leg,yes,235,yes,2023-06,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),844,13,16.176,0.807,6,8,17,20
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Texas east leg,yes,235,yes,2023-06,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),887,14,16.176,0.875,7,10,18,21
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Texas east leg,yes,235,yes,2023-06,2: Tuesday (Tu-Tu),5: Late PM (7pm-12am),410,14,16.176,0.837,7,9,17,20
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Texas east leg,yes,235,yes,2023-06,3: Wednesday (W-W),1: Early AM (12am-6am),32,14,16.176,0.893,2,8,20,20
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Texas east leg,yes,235,yes,2023-06,3: Wednesday (W-W),2: Peak AM (6am-10am),389,12,16.176,0.757,3,7,17,20
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Texas east leg,yes,235,yes,2023-06,3: Wednesday (W-W),3: Mid-Day (10am-3pm),790,13,16.176,0.834,6,9,17,20
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Texas east leg,yes,235,yes,2023-06,3: Wednesday (W-W),4: Peak PM (3pm-7pm),1185,14,16.176,0.859,8,10,17,20
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Texas east leg,yes,235,yes,2023-06,3: Wednesday (W-W),5: Late PM (7pm-12am),399,14,16.176,0.849,7,10,18,22
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Texas east leg,yes,235,yes,2023-06,4: Thursday (Th-Th),1: Early AM (12am-6am),34,13,16.176,0.82,3,8,21,29
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Texas east leg,yes,235,yes,2023-06,4: Thursday (Th-Th),2: Peak AM (6am-10am),422,12,16.176,0.768,2,6,17,21
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Texas east leg,yes,235,yes,2023-06,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),826,13,16.176,0.821,6,9,17,20
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Texas east leg,yes,235,yes,2023-06,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),1427,13,16.176,0.817,6,9,17,19
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Texas east leg,yes,235,yes,2023-06,4: Thursday (Th-Th),5: Late PM (7pm-12am),493,14,16.176,0.844,6,9,18,21
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Texas east leg,yes,235,yes,2023-06,5: Friday (F-F),1: Early AM (12am-6am),55,14,16.176,0.884,5,9,19,21
