Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Texas east leg,yes,235,yes,2021-06,1: Monday (M-M),1: Early AM (12am-6am),26,13,17.194,0.752,9,12,15,16
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Texas east leg,yes,235,yes,2021-06,1: Monday (M-M),2: Peak AM (6am-10am),308,13,17.194,0.728,5,8,17,21
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Texas east leg,yes,235,yes,2021-06,1: Monday (M-M),3: Mid-Day (10am-3pm),736,14,17.194,0.786,6,9,18,20
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Texas east leg,yes,235,yes,2021-06,1: Monday (M-M),4: Peak PM (3pm-7pm),544,15,17.194,0.852,8,10,19,22
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Texas east leg,yes,235,yes,2021-06,1: Monday (M-M),5: Late PM (7pm-12am),228,14,17.194,0.821,6,9,19,22
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Texas east leg,yes,235,yes,2021-06,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),50,13,17.194,0.776,7,9,18,19
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Texas east leg,yes,235,yes,2021-06,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),307,13,17.194,0.762,5,8,17,20
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Texas east leg,yes,235,yes,2021-06,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),834,14,17.194,0.799,6,8,19,21
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Texas east leg,yes,235,yes,2021-06,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),706,15,17.194,0.85,7,10,18,22
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Texas east leg,yes,235,yes,2021-06,2: Tuesday (Tu-Tu),5: Late PM (7pm-12am),257,15,17.194,0.851,8,11,18,22
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Texas east leg,yes,235,yes,2021-06,3: Wednesday (W-W),1: Early AM (12am-6am),47,13,17.194,0.748,6,9,17,18
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Texas east leg,yes,235,yes,2021-06,3: Wednesday (W-W),2: Peak AM (6am-10am),274,13,17.194,0.774,6,8,18,20
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Texas east leg,yes,235,yes,2021-06,3: Wednesday (W-W),3: Mid-Day (10am-3pm),764,14,17.194,0.803,5,9,18,22
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Texas east leg,yes,235,yes,2021-06,3: Wednesday (W-W),4: Peak PM (3pm-7pm),661,14,17.194,0.816,7,10,18,21
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Texas east leg,yes,235,yes,2021-06,3: Wednesday (W-W),5: Late PM (7pm-12am),247,15,17.194,0.849,8,10,19,21
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Texas east leg,yes,235,yes,2021-06,4: Thursday (Th-Th),1: Early AM (12am-6am),47,14,17.194,0.819,3,8,18,30
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Texas east leg,yes,235,yes,2021-06,4: Thursday (Th-Th),2: Peak AM (6am-10am),352,13,17.194,0.774,6,8,18,22
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Texas east leg,yes,235,yes,2021-06,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),664,14,17.194,0.797,6,9,18,22
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Texas east leg,yes,235,yes,2021-06,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),805,14,17.194,0.787,6,9,17,20
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Texas east leg,yes,235,yes,2021-06,4: Thursday (Th-Th),5: Late PM (7pm-12am),310,14,17.194,0.814,6,10,18,20
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Texas east leg,yes,235,yes,2021-06,5: Friday (F-F),1: Early AM (12am-6am),46,13,17.194,0.762,4,4,15,21
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Texas east leg,yes,235,yes,2021-06,5: Friday (F-F),2: Peak AM (6am-10am),281,13,17.194,0.774,6,9,17,20
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Texas east leg,yes,235,yes,2021-06,5: Friday (F-F),3: Mid-Day (10am-3pm),777,14,17.194,0.808,7,9,18,21
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Texas east leg,yes,235,yes,2021-06,5: Friday (F-F),4: Peak PM (3pm-7pm),816,14,17.194,0.817,7,9,18,21
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Texas east leg,yes,235,yes,2021-06,5: Friday (F-F),5: Late PM (7pm-12am),423,14,17.194,0.793,6,9,17,22
