Intersection,T_Statistic,P_Value,Pre_Volume,Post_Volume,Combined_Volume
St Andrews Pl & 31st,31.67577017511553,1.412046131596071e-172,274812,264291,539103
Nebraska Ave & Purdue Ave,21.649577066681005,7.495403224003133e-92,326345,462382,788727
Ellenwood Dr & Addison Way,40.053986262540285,7.390457299784966e-191,240770,235942,476712
Woodlawn Ave & 41st Pl,18.087793202255348,1.0683568478510024e-65,466789,491131,957920
5th Ave & 30th Street,27.859072708014555,4.0980703070009205e-134,152485,134189,286674
Rosewood Ave & Martel Ave,31.728680036157712,5.26906529154571e-170,866151,869035,1735186
Neptune & G Ave,25.14813877376653,1.959773865425836e-88,74916,67949,142865
St Andrews Pl 31st,31.67577017511553,1.412046131596071e-172,274812,264291,539103
Oakwood Ave & Hayworth Ave,3.3647639988077866,0.0007846981767581931,833913,804416,1638329
5th Ave & 30th St,27.859072708014555,4.0980703070009205e-134,152485,134189,286674
St Andrews Pl & 29th St,25.837465811768958,3.6910254842642398e-121,246066,228747,474813
Neptune & F Ave,26.995811659059342,4.151902995502367e-97,63621,58396,122017
St Andrews Pl & 29th,25.837465811768958,3.6910254842642398e-121,246066,228747,474813
Cimarron St & 29th St,27.25930072788404,1.3202323849548226e-135,315793,318946,634739
Texas Ave & Westgate Ave,9.205997592525545,1.0088648960402274e-19,633167,787544,1420711
Romaine St & Serrano Ave,21.580285652567003,6.312172094058119e-90,412085,333406,745491
Avenue 50 & Meridian St,44.22124645359517,1.6656839689782323e-170,159163,113170,272333
St Andrews Pl & 29th,25.837465811768958,3.6910254842642398e-121,246066,228747,474813
McKinley Ave & E. 88th Pl,35.208112107310185,1.4747526272962223e-202,367309,337190,704499
Buchanan St & Nolden St,6.385724695973153,2.127291867309671e-07,2672,33249,35921
Cimarron & 39th St,23.058424664491053,3.611254843816971e-102,279104,279467,558571
