Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,0: All Days (M-Su),0: All Day (12am-12am),348,16,20.121,0.819,5.000,10.000,22.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,0: All Days (M-Su),1: Early AM (12am-6am),20,17,20.121,0.838,5.000,11.000,20.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,0: All Days (M-Su),2: Peak AM (6am-10am),54,17,20.121,0.846,5.000,13.000,23.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),86,16,20.121,0.819,4.000,9.000,21.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),104,17,20.121,0.828,5.000,10.000,22.000,25.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,0: All Days (M-Su),5: Late PM (7pm-12am),84,16,20.121,0.785,5.000,9.000,21.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,1: Monday (M-M),0: All Day (12am-12am),315,17,20.121,0.837,6.000,12.000,23.000,25.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,1: Monday (M-M),1: Early AM (12am-6am),26,17,20.121,0.832,N/A,N/A,N/A,N/A
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,1: Monday (M-M),2: Peak AM (6am-10am),51,19,20.121,0.931,9.000,15.000,24.000,33.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,1: Monday (M-M),3: Mid-Day (10am-3pm),79,16,20.121,0.817,6.000,15.000,21.000,22.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,1: Monday (M-M),4: Peak PM (3pm-7pm),101,16,20.121,0.794,4.000,10.000,21.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,1: Monday (M-M),5: Late PM (7pm-12am),58,17,20.121,0.857,5.000,12.000,25.000,28.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,2: Tuesday (Tu-Tu),0: All Day (12am-12am),328,16,20.121,0.812,4.000,11.000,22.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),6,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),63,16,20.121,0.780,1.000,14.000,22.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),63,17,20.121,0.833,3.000,3.000,22.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),114,16,20.121,0.803,8.000,11.000,21.000,25.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,2: Tuesday (Tu-Tu),5: Late PM (7pm-12am),82,17,20.121,0.828,6.000,13.000,23.000,25.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,3: Wednesday (W-W),0: All Day (12am-12am),362,17,20.121,0.833,5.000,12.000,22.000,25.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,3: Wednesday (W-W),1: Early AM (12am-6am),21,14,20.121,0.678,N/A,N/A,N/A,N/A
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,3: Wednesday (W-W),2: Peak AM (6am-10am),74,17,20.121,0.821,3.000,8.000,26.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,3: Wednesday (W-W),3: Mid-Day (10am-3pm),97,17,20.121,0.857,5.000,11.000,22.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,3: Wednesday (W-W),4: Peak PM (3pm-7pm),111,17,20.121,0.863,4.000,15.000,22.000,25.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,3: Wednesday (W-W),5: Late PM (7pm-12am),60,16,20.121,0.809,6.000,10.000,20.000,20.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,4: Thursday (Th-Th),0: All Day (12am-12am),346,17,20.121,0.852,5.000,12.000,22.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,4: Thursday (Th-Th),1: Early AM (12am-6am),14,20,20.121,1.000,N/A,N/A,N/A,N/A
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,4: Thursday (Th-Th),2: Peak AM (6am-10am),64,18,20.121,0.919,14.000,15.000,22.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),77,17,20.121,0.833,4.000,11.000,22.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),98,17,20.121,0.844,4.000,12.000,22.000,24.000
