Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,0: All Days (M-Su),0: All Day (12am-12am),407,17,22.552,0.750,5.000,12.000,22.000,24.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,0: All Days (M-Su),1: Early AM (12am-6am),21,16,22.552,0.703,3.000,9.000,20.000,23.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,0: All Days (M-Su),2: Peak AM (6am-10am),72,18,22.552,0.809,6.000,14.000,22.000,24.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),109,17,22.552,0.750,6.000,12.000,22.000,24.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),111,17,22.552,0.735,4.000,11.000,21.000,24.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,0: All Days (M-Su),5: Late PM (7pm-12am),94,17,22.552,0.735,5.000,12.000,21.000,23.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,1: Monday (M-M),0: All Day (12am-12am),353,17,22.552,0.737,5.000,12.000,22.000,24.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,1: Monday (M-M),1: Early AM (12am-6am),19,19,22.552,0.834,N/A,N/A,N/A,N/A
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,1: Monday (M-M),2: Peak AM (6am-10am),91,18,22.552,0.788,8.000,12.000,23.000,24.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,1: Monday (M-M),3: Mid-Day (10am-3pm),91,17,22.552,0.755,8.000,14.000,22.000,31.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,1: Monday (M-M),4: Peak PM (3pm-7pm),84,15,22.552,0.668,3.000,5.000,19.000,20.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,1: Monday (M-M),5: Late PM (7pm-12am),70,16,22.552,0.703,13.000,13.000,20.000,21.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,2: Tuesday (Tu-Tu),0: All Day (12am-12am),439,17,22.552,0.752,7.000,13.000,21.000,23.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),15,16,22.552,0.713,N/A,N/A,N/A,N/A
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),87,18,22.552,0.788,12.000,14.000,21.000,23.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),126,17,22.552,0.756,11.000,14.000,20.000,22.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),134,16,22.552,0.702,4.000,10.000,21.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,2: Tuesday (Tu-Tu),5: Late PM (7pm-12am),76,18,22.552,0.798,12.000,13.000,22.000,23.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,3: Wednesday (W-W),0: All Day (12am-12am),366,17,22.552,0.761,4.000,11.000,22.000,24.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,3: Wednesday (W-W),1: Early AM (12am-6am),13,17,22.552,0.742,N/A,N/A,N/A,N/A
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,3: Wednesday (W-W),2: Peak AM (6am-10am),89,19,22.552,0.831,4.000,16.000,23.000,27.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,3: Wednesday (W-W),3: Mid-Day (10am-3pm),123,16,22.552,0.705,3.000,7.000,21.000,22.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,3: Wednesday (W-W),4: Peak PM (3pm-7pm),71,17,22.552,0.755,11.000,14.000,22.000,23.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,3: Wednesday (W-W),5: Late PM (7pm-12am),71,18,22.552,0.778,3.000,11.000,21.000,23.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,4: Thursday (Th-Th),0: All Day (12am-12am),435,17,22.552,0.766,5.000,13.000,22.000,23.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,4: Thursday (Th-Th),1: Early AM (12am-6am),16,16,22.552,0.693,N/A,N/A,N/A,N/A
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,4: Thursday (Th-Th),2: Peak AM (6am-10am),84,18,22.552,0.812,3.000,15.000,22.000,23.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),98,17,22.552,0.773,12.000,14.000,23.000,23.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),126,17,22.552,0.771,5.000,13.000,21.000,24.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,4: Thursday (Th-Th),5: Late PM (7pm-12am),112,17,22.552,0.732,7.000,14.000,21.000,24.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,5: Friday (F-F),0: All Day (12am-12am),500,18,22.552,0.792,9.000,13.000,22.000,24.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,5: Friday (F-F),1: Early AM (12am-6am),19,19,22.552,0.831,N/A,N/A,N/A,N/A
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,5: Friday (F-F),2: Peak AM (6am-10am),79,19,22.552,0.854,16.000,16.000,24.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,5: Friday (F-F),3: Mid-Day (10am-3pm),114,18,22.552,0.800,9.000,13.000,22.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,5: Friday (F-F),4: Peak PM (3pm-7pm),163,18,22.552,0.784,9.000,13.000,22.000,24.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,5: Friday (F-F),5: Late PM (7pm-12am),126,17,22.552,0.751,10.000,13.000,19.000,22.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,6: Saturday (Sa-Sa),0: All Day (12am-12am),409,17,22.552,0.735,4.000,11.000,22.000,24.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,6: Saturday (Sa-Sa),1: Early AM (12am-6am),21,14,22.552,0.604,N/A,N/A,N/A,N/A
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,6: Saturday (Sa-Sa),2: Peak AM (6am-10am),39,17,22.552,0.770,4.000,4.000,22.000,23.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,6: Saturday (Sa-Sa),3: Mid-Day (10am-3pm),93,18,22.552,0.800,12.000,14.000,22.000,24.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,6: Saturday (Sa-Sa),4: Peak PM (3pm-7pm),111,17,22.552,0.748,8.000,11.000,22.000,24.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,6: Saturday (Sa-Sa),5: Late PM (7pm-12am),144,16,22.552,0.693,4.000,10.000,21.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,7: Sunday (Su-Su),0: All Day (12am-12am),350,16,22.552,0.709,3.000,9.000,21.000,24.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,7: Sunday (Su-Su),1: Early AM (12am-6am),44,15,22.552,0.663,2.000,9.000,19.000,23.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,7: Sunday (Su-Su),2: Peak AM (6am-10am),29,18,22.552,0.816,N/A,N/A,N/A,N/A
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,7: Sunday (Su-Su),3: Mid-Day (10am-3pm),110,16,22.552,0.694,4.000,10.000,22.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,7: Sunday (Su-Su),4: Peak PM (3pm-7pm),97,16,22.552,0.699,2.000,6.000,21.000,23.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,7: Sunday (Su-Su),5: Late PM (7pm-12am),70,16,22.552,0.729,4.000,8.000,20.000,22.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-07,0: All Days (M-Su),0: All Day (12am-12am),397,17,23.383,0.737,5.000,12.000,21.000,24.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-07,0: All Days (M-Su),1: Early AM (12am-6am),20,16,23.383,0.692,3.000,10.000,19.000,22.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-07,0: All Days (M-Su),2: Peak AM (6am-10am),61,19,23.383,0.795,9.000,14.000,23.000,26.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-07,0: All Days (M-Su),3: Mid-Day (10am-3pm),105,17,23.383,0.743,4.000,12.000,21.000,24.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-07,0: All Days (M-Su),4: Peak PM (3pm-7pm),112,17,23.383,0.739,6.000,13.000,21.000,24.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-07,0: All Days (M-Su),5: Late PM (7pm-12am),98,16,23.383,0.702,6.000,12.000,21.000,23.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-07,1: Monday (M-M),0: All Day (12am-12am),402,17,23.383,0.743,6.000,12.000,22.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-07,1: Monday (M-M),1: Early AM (12am-6am),39,17,23.383,0.719,N/A,N/A,N/A,N/A
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-07,1: Monday (M-M),2: Peak AM (6am-10am),70,18,23.383,0.756,10.000,15.000,22.000,23.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-07,1: Monday (M-M),3: Mid-Day (10am-3pm),82,15,23.383,0.654,4.000,5.000,19.000,21.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-07,1: Monday (M-M),4: Peak PM (3pm-7pm),116,18,23.383,0.774,10.000,12.000,21.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-07,1: Monday (M-M),5: Late PM (7pm-12am),95,18,23.383,0.782,12.000,13.000,24.000,32.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-07,2: Tuesday (Tu-Tu),0: All Day (12am-12am),375,17,23.383,0.709,4.000,10.000,21.000,23.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-07,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),16,19,23.383,0.804,N/A,N/A,N/A,N/A
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-07,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),64,18,23.383,0.767,8.000,14.000,24.000,24.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-07,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),104,15,23.383,0.647,2.000,6.000,21.000,21.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-07,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),114,17,23.383,0.726,6.000,10.000,20.000,23.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-07,2: Tuesday (Tu-Tu),5: Late PM (7pm-12am),77,16,23.383,0.701,9.000,13.000,21.000,22.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-07,3: Wednesday (W-W),0: All Day (12am-12am),350,18,23.383,0.750,6.000,14.000,21.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-07,3: Wednesday (W-W),1: Early AM (12am-6am),20,16,23.383,0.696,N/A,N/A,N/A,N/A
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-07,3: Wednesday (W-W),2: Peak AM (6am-10am),57,18,23.383,0.780,14.000,15.000,27.000,27.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-07,3: Wednesday (W-W),3: Mid-Day (10am-3pm),93,18,23.383,0.768,2.000,15.000,21.000,22.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-07,3: Wednesday (W-W),4: Peak PM (3pm-7pm),102,19,23.383,0.795,13.000,14.000,21.000,24.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-07,3: Wednesday (W-W),5: Late PM (7pm-12am),77,16,23.383,0.664,6.000,12.000,19.000,21.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-07,4: Thursday (Th-Th),0: All Day (12am-12am),496,18,23.383,0.757,5.000,13.000,22.000,24.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-07,4: Thursday (Th-Th),1: Early AM (12am-6am),11,18,23.383,0.778,N/A,N/A,N/A,N/A
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-07,4: Thursday (Th-Th),2: Peak AM (6am-10am),80,20,23.383,0.838,9.000,18.000,23.000,24.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-07,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),127,18,23.383,0.773,6.000,13.000,21.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-07,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),154,18,23.383,0.765,9.000,14.000,23.000,24.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-07,4: Thursday (Th-Th),5: Late PM (7pm-12am),124,16,23.383,0.676,4.000,10.000,19.000,21.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-07,5: Friday (F-F),0: All Day (12am-12am),461,17,23.383,0.745,6.000,13.000,22.000,25.000
