Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,0: All Days (M-Su),0: All Day (12am-12am),413,19,21.663,0.863,5.000,12.000,24.000,28.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,0: All Days (M-Su),1: Early AM (12am-6am),13,17,21.663,0.768,4.000,7.000,18.000,22.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,0: All Days (M-Su),2: Peak AM (6am-10am),60,20,21.663,0.902,6.000,13.000,25.000,26.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),112,19,21.663,0.895,7.000,14.000,25.000,29.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),140,19,21.663,0.869,5.000,12.000,24.000,28.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,0: All Days (M-Su),5: Late PM (7pm-12am),89,17,21.663,0.800,3.000,9.000,24.000,27.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,1: Monday (M-M),0: All Day (12am-12am),383,18,21.663,0.833,6.000,10.000,24.000,27.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,1: Monday (M-M),1: Early AM (12am-6am),16,13,21.663,0.600,N/A,N/A,N/A,N/A
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,1: Monday (M-M),2: Peak AM (6am-10am),67,19,21.663,0.881,6.000,13.000,25.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2021-06,1: Monday (M-M),3: Mid-Day (10am-3pm),107,19,21.663,0.862,9.000,11.000,24.000,31.000
