Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,0: All Days (M-Su),0: All Day (12am-12am),323,16,20.872,0.784,5.000,10.000,21.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,0: All Days (M-Su),1: Early AM (12am-6am),23,16,20.872,0.754,5.000,10.000,21.000,25.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,0: All Days (M-Su),2: Peak AM (6am-10am),50,17,20.872,0.804,5.000,10.000,22.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),84,17,20.872,0.812,4.000,11.000,21.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),90,16,20.872,0.774,4.000,9.000,21.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,0: All Days (M-Su),5: Late PM (7pm-12am),77,16,20.872,0.761,6.000,10.000,20.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,1: Monday (M-M),0: All Day (12am-12am),334,16,20.872,0.759,4.000,11.000,20.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,1: Monday (M-M),1: Early AM (12am-6am),18,14,20.872,0.677,N/A,N/A,N/A,N/A
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,1: Monday (M-M),2: Peak AM (6am-10am),52,15,20.872,0.737,4.000,8.000,21.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,1: Monday (M-M),3: Mid-Day (10am-3pm),94,16,20.872,0.769,4.000,12.000,20.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,1: Monday (M-M),4: Peak PM (3pm-7pm),94,16,20.872,0.744,5.000,12.000,20.000,21.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,1: Monday (M-M),5: Late PM (7pm-12am),75,17,20.872,0.800,6.000,9.000,20.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,2: Tuesday (Tu-Tu),0: All Day (12am-12am),310,16,20.872,0.784,5.000,10.000,21.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),21,12,20.872,0.590,N/A,N/A,N/A,N/A
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),54,17,20.872,0.810,6.000,14.000,21.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),55,18,20.872,0.866,4.000,13.000,21.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),91,16,20.872,0.774,4.000,8.000,22.000,25.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,2: Tuesday (Tu-Tu),5: Late PM (7pm-12am),88,16,20.872,0.773,5.000,11.000,21.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,3: Wednesday (W-W),0: All Day (12am-12am),284,17,20.872,0.811,4.000,11.000,21.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,3: Wednesday (W-W),1: Early AM (12am-6am),7,19,20.872,0.912,N/A,N/A,N/A,N/A
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,3: Wednesday (W-W),2: Peak AM (6am-10am),63,17,20.872,0.811,5.000,9.000,22.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,3: Wednesday (W-W),3: Mid-Day (10am-3pm),81,18,20.872,0.885,11.000,12.000,21.000,25.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,3: Wednesday (W-W),4: Peak PM (3pm-7pm),72,16,20.872,0.772,4.000,11.000,20.000,22.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,3: Wednesday (W-W),5: Late PM (7pm-12am),61,16,20.872,0.747,3.000,10.000,20.000,25.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,4: Thursday (Th-Th),0: All Day (12am-12am),326,17,20.872,0.803,4.000,9.000,22.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,4: Thursday (Th-Th),1: Early AM (12am-6am),14,17,20.872,0.838,N/A,N/A,N/A,N/A
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,4: Thursday (Th-Th),2: Peak AM (6am-10am),50,17,20.872,0.816,4.000,6.000,23.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),81,17,20.872,0.801,4.000,9.000,21.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),114,17,20.872,0.804,4.000,11.000,22.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,4: Thursday (Th-Th),5: Late PM (7pm-12am),66,16,20.872,0.785,9.000,10.000,21.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,5: Friday (F-F),0: All Day (12am-12am),348,16,20.872,0.784,5.000,9.000,22.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,5: Friday (F-F),1: Early AM (12am-6am),25,16,20.872,0.788,7.000,7.000,25.000,25.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,5: Friday (F-F),2: Peak AM (6am-10am),55,16,20.872,0.779,4.000,8.000,22.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,5: Friday (F-F),3: Mid-Day (10am-3pm),93,18,20.872,0.848,4.000,14.000,23.000,25.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,5: Friday (F-F),4: Peak PM (3pm-7pm),99,16,20.872,0.782,4.000,8.000,21.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,5: Friday (F-F),5: Late PM (7pm-12am),75,15,20.872,0.709,6.000,10.000,20.000,22.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,6: Saturday (Sa-Sa),0: All Day (12am-12am),352,16,20.872,0.776,5.000,10.000,21.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,6: Saturday (Sa-Sa),1: Early AM (12am-6am),25,16,20.872,0.756,4.000,10.000,20.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,6: Saturday (Sa-Sa),2: Peak AM (6am-10am),51,18,20.872,0.867,11.000,14.000,22.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,6: Saturday (Sa-Sa),3: Mid-Day (10am-3pm),86,16,20.872,0.766,5.000,10.000,20.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,6: Saturday (Sa-Sa),4: Peak PM (3pm-7pm),81,16,20.872,0.755,4.000,8.000,24.000,25.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,6: Saturday (Sa-Sa),5: Late PM (7pm-12am),109,16,20.872,0.763,5.000,9.000,21.000,25.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,7: Sunday (Su-Su),0: All Day (12am-12am),304,16,20.872,0.774,5.000,12.000,20.000,22.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,7: Sunday (Su-Su),1: Early AM (12am-6am),52,16,20.872,0.771,4.000,11.000,20.000,22.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,7: Sunday (Su-Su),2: Peak AM (6am-10am),21,16,20.872,0.786,N/A,N/A,N/A,N/A
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,7: Sunday (Su-Su),3: Mid-Day (10am-3pm),94,16,20.872,0.785,4.000,11.000,21.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,7: Sunday (Su-Su),4: Peak PM (3pm-7pm),71,16,20.872,0.775,6.000,13.000,19.000,22.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-06,7: Sunday (Su-Su),5: Late PM (7pm-12am),65,16,20.872,0.754,11.000,13.000,20.000,20.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-07,0: All Days (M-Su),0: All Day (12am-12am),260,16,22.481,0.717,4.000,8.000,21.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-07,0: All Days (M-Su),1: Early AM (12am-6am),17,16,22.481,0.702,4.000,6.000,23.000,25.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-07,0: All Days (M-Su),2: Peak AM (6am-10am),40,16,22.481,0.714,3.000,7.000,21.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-07,0: All Days (M-Su),3: Mid-Day (10am-3pm),68,17,22.481,0.748,4.000,10.000,22.000,25.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-07,0: All Days (M-Su),4: Peak PM (3pm-7pm),72,16,22.481,0.727,4.000,10.000,21.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-07,0: All Days (M-Su),5: Late PM (7pm-12am),63,15,22.481,0.676,4.000,8.000,21.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,5th Avenue,yes,180,yes,2023-07,1: Monday (M-M),0: All Day (12am-12am),250,15,22.481,0.666,3.000,6.000,20.000,23.000
