Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2023-06,0: All Days (M-Su),0: All Day (12am-12am),182,13,17.446,0.757,3.000,8.000,17.000,21.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2023-06,0: All Days (M-Su),1: Early AM (12am-6am),7,13,17.446,0.765,7.000,7.000,16.000,16.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2023-06,0: All Days (M-Su),2: Peak AM (6am-10am),29,14,17.446,0.801,6.000,10.000,20.000,21.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2023-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),50,13,17.446,0.747,3.000,9.000,16.000,20.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2023-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),55,13,17.446,0.749,3.000,8.000,17.000,21.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2023-06,0: All Days (M-Su),5: Late PM (7pm-12am),41,13,17.446,0.748,3.000,7.000,17.000,21.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2023-06,1: Weekday (M-Th),0: All Day (12am-12am),169,13,17.446,0.767,3.000,9.000,17.000,21.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2023-06,1: Weekday (M-Th),1: Early AM (12am-6am),6,12,17.446,0.700,9.000,9.000,14.000,14.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2023-06,1: Weekday (M-Th),2: Peak AM (6am-10am),34,14,17.446,0.806,7.000,11.000,20.000,21.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2023-06,1: Weekday (M-Th),3: Mid-Day (10am-3pm),43,13,17.446,0.747,3.000,8.000,16.000,20.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2023-06,1: Weekday (M-Th),4: Peak PM (3pm-7pm),51,13,17.446,0.758,3.000,9.000,17.000,21.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2023-06,1: Weekday (M-Th),5: Late PM (7pm-12am),34,14,17.446,0.777,6.000,11.000,18.000,21.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2023-06,2: Weekend (Sa-Su),0: All Day (12am-12am),227,13,17.446,0.734,3.000,6.000,17.000,20.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2023-06,2: Weekend (Sa-Su),1: Early AM (12am-6am),11,13,17.446,0.768,7.000,7.000,16.000,16.000
