Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2023-06,0: All Days (M-Su),0: All Day (12am-12am),905,13,17.875,0.742,8.000,10.000,16.000,19.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2023-06,0: All Days (M-Su),1: Early AM (12am-6am),24,14,17.875,0.797,7.000,11.000,18.000,22.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2023-06,0: All Days (M-Su),2: Peak AM (6am-10am),123,14,17.875,0.762,9.000,11.000,16.000,20.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2023-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),278,13,17.875,0.736,7.000,10.000,16.000,19.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2023-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),288,13,17.875,0.736,8.000,10.000,16.000,19.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2023-06,0: All Days (M-Su),5: Late PM (7pm-12am),193,13,17.875,0.737,8.000,10.000,15.000,19.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2023-06,1: Weekday (M-Th),0: All Day (12am-12am),884,13,17.875,0.749,8.000,11.000,16.000,20.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2023-06,1: Weekday (M-Th),1: Early AM (12am-6am),19,15,17.875,0.825,4.000,11.000,18.000,22.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2023-06,1: Weekday (M-Th),2: Peak AM (6am-10am),141,14,17.875,0.764,9.000,11.000,16.000,21.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2023-06,1: Weekday (M-Th),3: Mid-Day (10am-3pm),251,13,17.875,0.740,8.000,10.000,16.000,19.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2023-06,1: Weekday (M-Th),4: Peak PM (3pm-7pm),285,13,17.875,0.743,8.000,10.000,16.000,19.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2023-06,1: Weekday (M-Th),5: Late PM (7pm-12am),187,13,17.875,0.753,8.000,11.000,16.000,20.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2023-06,2: Weekend (Sa-Su),0: All Day (12am-12am),902,13,17.875,0.732,8.000,10.000,16.000,19.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2023-06,2: Weekend (Sa-Su),1: Early AM (12am-6am),34,14,17.875,0.761,9.000,11.000,19.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2023-06,2: Weekend (Sa-Su),2: Peak AM (6am-10am),69,14,17.875,0.768,9.000,10.000,16.000,20.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2023-06,2: Weekend (Sa-Su),3: Mid-Day (10am-3pm),323,13,17.875,0.725,8.000,10.000,16.000,18.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2023-06,2: Weekend (Sa-Su),4: Peak PM (3pm-7pm),282,13,17.875,0.734,7.000,10.000,16.000,19.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2023-06,2: Weekend (Sa-Su),5: Late PM (7pm-12am),195,13,17.875,0.724,8.000,10.000,15.000,18.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2023-07,0: All Days (M-Su),0: All Day (12am-12am),842,13,18.334,0.730,8.000,10.000,16.000,19.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2023-07,0: All Days (M-Su),1: Early AM (12am-6am),25,14,18.334,0.765,6.000,9.000,17.000,22.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2023-07,0: All Days (M-Su),2: Peak AM (6am-10am),103,14,18.334,0.759,9.000,11.000,17.000,21.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2023-07,0: All Days (M-Su),3: Mid-Day (10am-3pm),255,13,18.334,0.726,8.000,10.000,16.000,19.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2023-07,0: All Days (M-Su),4: Peak PM (3pm-7pm),260,13,18.334,0.725,8.000,10.000,16.000,19.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2023-07,0: All Days (M-Su),5: Late PM (7pm-12am),199,13,18.334,0.724,8.000,10.000,16.000,19.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2023-07,1: Weekday (M-Th),0: All Day (12am-12am),812,13,18.334,0.736,8.000,10.000,16.000,19.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2023-07,1: Weekday (M-Th),1: Early AM (12am-6am),20,15,18.334,0.810,4.000,10.000,16.000,20.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2023-07,1: Weekday (M-Th),2: Peak AM (6am-10am),120,14,18.334,0.767,9.000,11.000,16.000,21.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2023-07,1: Weekday (M-Th),3: Mid-Day (10am-3pm),229,13,18.334,0.730,8.000,10.000,16.000,20.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2023-07,1: Weekday (M-Th),4: Peak PM (3pm-7pm),264,13,18.334,0.725,9.000,10.000,16.000,19.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2023-07,1: Weekday (M-Th),5: Late PM (7pm-12am),179,13,18.334,0.732,8.000,10.000,16.000,19.000
