Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2021-06,0: All Days (M-Su),0: All Day (12am-12am),1019,15,18.666,0.801,10.000,11.000,18.000,22.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2021-06,0: All Days (M-Su),1: Early AM (12am-6am),29,15,18.666,0.813,9.000,11.000,19.000,22.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2021-06,0: All Days (M-Su),2: Peak AM (6am-10am),136,15,18.666,0.806,9.000,12.000,19.000,22.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2021-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),340,15,18.666,0.798,9.000,11.000,18.000,21.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2021-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),312,15,18.666,0.803,10.000,12.000,18.000,21.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2021-06,0: All Days (M-Su),5: Late PM (7pm-12am),202,15,18.666,0.800,10.000,12.000,18.000,22.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2021-06,1: Weekday (M-Th),0: All Day (12am-12am),978,15,18.666,0.808,10.000,11.000,19.000,22.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2021-06,1: Weekday (M-Th),1: Early AM (12am-6am),26,15,18.666,0.826,6.000,12.000,21.000,22.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2021-06,1: Weekday (M-Th),2: Peak AM (6am-10am),153,15,18.666,0.815,9.000,12.000,19.000,22.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Avenue 50,yes,193,yes,2021-06,1: Weekday (M-Th),3: Mid-Day (10am-3pm),316,15,18.666,0.808,9.000,11.000,19.000,22.000
