Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Buchanan Street,yes,102,yes,2021-06,0: All Days (M-Su),0: All Day (12am-12am),281,14,25.476,0.562,3.000,10.000,18.000,21.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Buchanan Street,yes,102,yes,2021-06,0: All Days (M-Su),1: Early AM (12am-6am),11,15,25.476,0.591,8.000,13.000,18.000,24.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Buchanan Street,yes,102,yes,2021-06,0: All Days (M-Su),2: Peak AM (6am-10am),34,14,25.476,0.568,4.000,10.000,19.000,22.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Buchanan Street,yes,102,yes,2021-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),80,14,25.476,0.547,2.000,9.000,18.000,21.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Buchanan Street,yes,102,yes,2021-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),89,15,25.476,0.587,5.000,10.000,18.000,22.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Buchanan Street,yes,102,yes,2021-06,0: All Days (M-Su),5: Late PM (7pm-12am),67,14,25.476,0.539,3.000,8.000,18.000,21.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Buchanan Street,yes,102,yes,2021-06,1: Weekday (M-Th),0: All Day (12am-12am),271,14,25.476,0.566,3.000,10.000,19.000,22.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Buchanan Street,yes,102,yes,2021-06,1: Weekday (M-Th),1: Early AM (12am-6am),11,16,25.476,0.612,8.000,14.000,18.000,18.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Buchanan Street,yes,102,yes,2021-06,1: Weekday (M-Th),2: Peak AM (6am-10am),38,14,25.476,0.543,3.000,9.000,19.000,24.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Buchanan Street,yes,102,yes,2021-06,1: Weekday (M-Th),3: Mid-Day (10am-3pm),80,14,25.476,0.541,2.000,7.000,19.000,21.000
