Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Buchanan Street,yes,102,yes,2023-06,0: All Days (M-Su),0: All Day (12am-12am),349,15,26.818,0.546,5.000,11.000,18.000,21.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Buchanan Street,yes,102,yes,2023-06,0: All Days (M-Su),1: Early AM (12am-6am),8,13,26.818,0.500,2.000,2.000,18.000,19.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Buchanan Street,yes,102,yes,2023-06,0: All Days (M-Su),2: Peak AM (6am-10am),43,15,26.818,0.557,4.000,9.000,18.000,21.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Buchanan Street,yes,102,yes,2023-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),94,15,26.818,0.567,5.000,11.000,18.000,21.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Buchanan Street,yes,102,yes,2023-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),111,15,26.818,0.550,7.000,11.000,19.000,21.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Buchanan Street,yes,102,yes,2023-06,0: All Days (M-Su),5: Late PM (7pm-12am),92,14,26.818,0.521,5.000,10.000,18.000,21.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Buchanan Street,yes,102,yes,2023-06,1: Weekday (M-Th),0: All Day (12am-12am),333,15,26.818,0.547,5.000,10.000,18.000,21.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Buchanan Street,yes,102,yes,2023-06,1: Weekday (M-Th),1: Early AM (12am-6am),4,14,26.818,0.540,N/A,N/A,N/A,N/A
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Buchanan Street,yes,102,yes,2023-06,1: Weekday (M-Th),2: Peak AM (6am-10am),48,15,26.818,0.545,4.000,8.000,18.000,21.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Buchanan Street,yes,102,yes,2023-06,1: Weekday (M-Th),3: Mid-Day (10am-3pm),88,15,26.818,0.564,7.000,11.000,18.000,20.000
