Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Buchanan Street,yes,102,yes,0: All Days (M-Su),0: All Day (12am-12am),330,15,27.695,0.529,4.000,11.000,18.000,21.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Buchanan Street,yes,102,yes,0: All Days (M-Su),1: Early AM (12am-6am),10,15,27.695,0.531,4.000,9.000,18.000,20.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Buchanan Street,yes,102,yes,0: All Days (M-Su),2: Peak AM (6am-10am),51,15,27.695,0.544,6.000,11.000,19.000,21.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Buchanan Street,yes,102,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),103,15,27.695,0.534,5.000,11.000,19.000,21.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Buchanan Street,yes,102,yes,0: All Days (M-Su),4: Peak PM (3pm-7pm),103,15,27.695,0.534,5.000,11.000,18.000,21.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Buchanan Street,yes,102,yes,0: All Days (M-Su),5: Late PM (7pm-12am),63,14,27.695,0.502,3.000,9.000,18.000,21.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Buchanan Street,yes,102,yes,1: Weekday (M-Th),0: All Day (12am-12am),337,15,27.695,0.531,4.000,11.000,18.000,21.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Buchanan Street,yes,102,yes,1: Weekday (M-Th),1: Early AM (12am-6am),8,15,27.695,0.550,5.000,9.000,19.000,19.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Buchanan Street,yes,102,yes,1: Weekday (M-Th),2: Peak AM (6am-10am),64,15,27.695,0.541,5.000,11.000,18.000,21.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Buchanan Street,yes,102,yes,1: Weekday (M-Th),3: Mid-Day (10am-3pm),105,15,27.695,0.531,4.000,11.000,18.000,21.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Buchanan Street,yes,102,yes,1: Weekday (M-Th),4: Peak PM (3pm-7pm),106,15,27.695,0.535,5.000,11.000,18.000,21.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Buchanan Street,yes,102,yes,1: Weekday (M-Th),5: Late PM (7pm-12am),53,14,27.695,0.507,3.000,9.000,18.000,21.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Buchanan Street,yes,102,yes,2: Weekend (Sa-Su),0: All Day (12am-12am),267,15,27.695,0.528,4.000,10.000,18.000,21.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Buchanan Street,yes,102,yes,2: Weekend (Sa-Su),1: Early AM (12am-6am),14,14,27.695,0.521,3.000,9.000,18.000,20.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Buchanan Street,yes,102,yes,2: Weekend (Sa-Su),2: Peak AM (6am-10am),20,15,27.695,0.555,4.000,11.000,19.000,22.000
