Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2023-06,0: All Days (M-Su),0: All Day (12am-12am),410,17,20.077,0.823,6.000,11.000,21.000,25.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2023-06,0: All Days (M-Su),1: Early AM (12am-6am),21,15,20.077,0.765,4.000,7.000,21.000,25.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2023-06,0: All Days (M-Su),2: Peak AM (6am-10am),76,17,20.077,0.857,7.000,12.000,22.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2023-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),117,16,20.077,0.796,6.000,10.000,21.000,25.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2023-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),132,17,20.077,0.861,6.000,12.000,22.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2023-06,0: All Days (M-Su),5: Late PM (7pm-12am),65,16,20.077,0.779,4.000,7.000,21.000,25.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2023-06,1: Monday (M-M),0: All Day (12am-12am),326,16,20.077,0.811,6.000,10.000,21.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2023-06,1: Monday (M-M),1: Early AM (12am-6am),19,13,20.077,0.625,N/A,N/A,N/A,N/A
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2023-06,1: Monday (M-M),2: Peak AM (6am-10am),73,17,20.077,0.852,7.000,13.000,23.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2023-06,1: Monday (M-M),3: Mid-Day (10am-3pm),69,17,20.077,0.844,6.000,10.000,21.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2023-06,1: Monday (M-M),4: Peak PM (3pm-7pm),122,17,20.077,0.843,4.000,11.000,21.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2023-06,1: Monday (M-M),5: Late PM (7pm-12am),43,14,20.077,0.677,4.000,8.000,23.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2023-06,2: Tuesday (Tu-Tu),0: All Day (12am-12am),394,17,20.077,0.867,6.000,12.000,22.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2023-06,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),22,14,20.077,0.691,N/A,N/A,N/A,N/A
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2023-06,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),73,18,20.077,0.885,6.000,13.000,23.000,26.000
