Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2021-06,0: All Days (M-Su),0: All Day (12am-12am),476,18,22.336,0.798,5.000,11.000,24.000,26.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2021-06,0: All Days (M-Su),1: Early AM (12am-6am),14,16,22.336,0.728,5.000,7.000,19.000,47.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2021-06,0: All Days (M-Su),2: Peak AM (6am-10am),66,19,22.336,0.869,4.000,13.000,26.000,28.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2021-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),130,18,22.336,0.820,5.000,13.000,24.000,27.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2021-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),187,18,22.336,0.802,6.000,12.000,22.000,26.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2021-06,0: All Days (M-Su),5: Late PM (7pm-12am),78,16,22.336,0.709,3.000,5.000,23.000,27.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2021-06,1: Monday (M-M),0: All Day (12am-12am),465,17,22.336,0.771,4.000,9.000,22.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2021-06,1: Monday (M-M),1: Early AM (12am-6am),9,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2021-06,1: Monday (M-M),2: Peak AM (6am-10am),68,19,22.336,0.841,4.000,10.000,23.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2021-06,1: Monday (M-M),3: Mid-Day (10am-3pm),103,17,22.336,0.751,4.000,8.000,23.000,32.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2021-06,1: Monday (M-M),4: Peak PM (3pm-7pm),204,18,22.336,0.795,7.000,12.000,22.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2021-06,1: Monday (M-M),5: Late PM (7pm-12am),81,15,22.336,0.691,3.000,3.000,23.000,27.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2021-06,2: Tuesday (Tu-Tu),0: All Day (12am-12am),496,18,22.336,0.817,5.000,10.000,25.000,29.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2021-06,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),12,19,22.336,0.866,N/A,N/A,N/A,N/A
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2021-06,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),70,20,22.336,0.910,13.000,16.000,26.000,32.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2021-06,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),105,18,22.336,0.807,5.000,13.000,25.000,30.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2021-06,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),221,19,22.336,0.832,5.000,13.000,25.000,27.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2021-06,2: Tuesday (Tu-Tu),5: Late PM (7pm-12am),88,16,22.336,0.710,4.000,5.000,23.000,39.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2021-06,3: Wednesday (W-W),0: All Day (12am-12am),489,19,22.336,0.832,5.000,13.000,25.000,27.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2021-06,3: Wednesday (W-W),1: Early AM (12am-6am),7,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2021-06,3: Wednesday (W-W),2: Peak AM (6am-10am),79,20,22.336,0.894,11.000,14.000,26.000,28.000
