Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 29th Street,yes,270,yes,2023-06,0: All Days (M-Su),0: All Day (12am-12am),494,19,24.212,0.777,7.000,14.000,24.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 29th Street,yes,270,yes,2023-06,0: All Days (M-Su),1: Early AM (12am-6am),21,19,24.212,0.787,5.000,15.000,22.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 29th Street,yes,270,yes,2023-06,0: All Days (M-Su),2: Peak AM (6am-10am),74,19,24.212,0.797,9.000,15.000,25.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 29th Street,yes,270,yes,2023-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),117,19,24.212,0.766,7.000,13.000,24.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 29th Street,yes,270,yes,2023-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),181,19,24.212,0.796,8.000,14.000,24.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 29th Street,yes,270,yes,2023-06,0: All Days (M-Su),5: Late PM (7pm-12am),101,18,24.212,0.742,6.000,14.000,22.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 29th Street,yes,270,yes,2023-06,1: Monday (M-M),0: All Day (12am-12am),458,19,24.212,0.780,8.000,14.000,23.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 29th Street,yes,270,yes,2023-06,1: Monday (M-M),1: Early AM (12am-6am),24,21,24.212,0.848,N/A,N/A,N/A,N/A
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 29th Street,yes,270,yes,2023-06,1: Monday (M-M),2: Peak AM (6am-10am),80,18,24.212,0.741,4.000,15.000,21.000,21.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 29th Street,yes,270,yes,2023-06,1: Monday (M-M),3: Mid-Day (10am-3pm),110,18,24.212,0.734,8.000,12.000,22.000,25.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 29th Street,yes,270,yes,2023-06,1: Monday (M-M),4: Peak PM (3pm-7pm),176,20,24.212,0.817,11.000,16.000,24.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 29th Street,yes,270,yes,2023-06,1: Monday (M-M),5: Late PM (7pm-12am),69,19,24.212,0.784,5.000,14.000,23.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 29th Street,yes,270,yes,2023-06,2: Tuesday (Tu-Tu),0: All Day (12am-12am),487,19,24.212,0.793,7.000,15.000,24.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 29th Street,yes,270,yes,2023-06,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),11,17,24.212,0.706,N/A,N/A,N/A,N/A
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 29th Street,yes,270,yes,2023-06,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),78,19,24.212,0.801,7.000,15.000,26.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 29th Street,yes,270,yes,2023-06,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),126,19,24.212,0.794,7.000,15.000,24.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 29th Street,yes,270,yes,2023-06,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),196,20,24.212,0.815,8.000,16.000,25.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 29th Street,yes,270,yes,2023-06,2: Tuesday (Tu-Tu),5: Late PM (7pm-12am),75,18,24.212,0.740,12.000,14.000,21.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 29th Street,yes,270,yes,2023-06,3: Wednesday (W-W),0: All Day (12am-12am),629,19,24.212,0.777,6.000,14.000,23.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 29th Street,yes,270,yes,2023-06,3: Wednesday (W-W),1: Early AM (12am-6am),22,18,24.212,0.753,N/A,N/A,N/A,N/A
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 29th Street,yes,270,yes,2023-06,3: Wednesday (W-W),2: Peak AM (6am-10am),93,20,24.212,0.824,5.000,15.000,24.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 29th Street,yes,270,yes,2023-06,3: Wednesday (W-W),3: Mid-Day (10am-3pm),123,19,24.212,0.785,6.000,15.000,24.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 29th Street,yes,270,yes,2023-06,3: Wednesday (W-W),4: Peak PM (3pm-7pm),262,19,24.212,0.784,8.000,15.000,23.000,26.000
