Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 29th Street,yes,270,yes,2021-06,0: All Days (M-Su),0: All Day (12am-12am),526,20,31.858,0.627,6.000,14.000,25.000,27.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 29th Street,yes,270,yes,2021-06,0: All Days (M-Su),1: Early AM (12am-6am),18,22,31.858,0.679,5.000,6.000,26.000,26.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 29th Street,yes,270,yes,2021-06,0: All Days (M-Su),2: Peak AM (6am-10am),66,21,31.858,0.652,7.000,14.000,26.000,29.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 29th Street,yes,270,yes,2021-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),134,20,31.858,0.619,6.000,14.000,25.000,27.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 29th Street,yes,270,yes,2021-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),223,20,31.858,0.629,8.000,15.000,25.000,27.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 29th Street,yes,270,yes,2021-06,0: All Days (M-Su),5: Late PM (7pm-12am),84,19,31.858,0.601,6.000,13.000,25.000,26.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 29th Street,yes,270,yes,2021-06,1: Monday (M-M),0: All Day (12am-12am),550,20,31.858,0.623,6.000,15.000,25.000,27.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 29th Street,yes,270,yes,2021-06,1: Monday (M-M),1: Early AM (12am-6am),11,25,31.858,0.782,N/A,N/A,N/A,N/A
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 29th Street,yes,270,yes,2021-06,1: Monday (M-M),2: Peak AM (6am-10am),86,20,31.858,0.637,13.000,14.000,25.000,27.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 29th Street,yes,270,yes,2021-06,1: Monday (M-M),3: Mid-Day (10am-3pm),159,19,31.858,0.600,7.000,16.000,25.000,27.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 29th Street,yes,270,yes,2021-06,1: Monday (M-M),4: Peak PM (3pm-7pm),223,20,31.858,0.628,5.000,15.000,25.000,28.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 29th Street,yes,270,yes,2021-06,1: Monday (M-M),5: Late PM (7pm-12am),71,20,31.858,0.620,5.000,17.000,26.000,29.000
