Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Addison Way,yes,102,yes,2023-06,0: All Days (M-Su),0: All Day (12am-12am),264,15,20.715,0.704,2.000,8.000,21.000,28.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Addison Way,yes,102,yes,2023-06,0: All Days (M-Su),1: Early AM (12am-6am),7,13,20.715,0.640,2.000,2.000,16.000,20.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Addison Way,yes,102,yes,2023-06,0: All Days (M-Su),2: Peak AM (6am-10am),39,15,20.715,0.712,3.000,7.000,22.000,29.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Addison Way,yes,102,yes,2023-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),92,15,20.715,0.713,3.000,8.000,20.000,27.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Addison Way,yes,102,yes,2023-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),77,15,20.715,0.702,2.000,8.000,21.000,29.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Addison Way,yes,102,yes,2023-06,0: All Days (M-Su),5: Late PM (7pm-12am),50,14,20.715,0.694,2.000,8.000,21.000,28.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Addison Way,yes,102,yes,2023-06,1: Monday (M-M),0: All Day (12am-12am),253,15,20.715,0.704,2.000,7.000,20.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Addison Way,yes,102,yes,2023-06,1: Monday (M-M),1: Early AM (12am-6am),13,11,20.715,0.525,N/A,N/A,N/A,N/A
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Addison Way,yes,102,yes,2023-06,1: Monday (M-M),2: Peak AM (6am-10am),33,16,20.715,0.782,3.000,9.000,32.000,33.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Addison Way,yes,102,yes,2023-06,1: Monday (M-M),3: Mid-Day (10am-3pm),87,15,20.715,0.741,2.000,7.000,22.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Addison Way,yes,102,yes,2023-06,1: Monday (M-M),4: Peak PM (3pm-7pm),67,15,20.715,0.722,5.000,9.000,20.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Addison Way,yes,102,yes,2023-06,1: Monday (M-M),5: Late PM (7pm-12am),53,13,20.715,0.616,1.000,7.000,17.000,20.000
