Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Addison Way,yes,102,yes,2021-06,0: All Days (M-Su),0: All Day (12am-12am),255,15,26.980,0.565,3.000,7.000,22.000,29.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Addison Way,yes,102,yes,2021-06,0: All Days (M-Su),1: Early AM (12am-6am),12,14,26.980,0.525,1.000,3.000,25.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Addison Way,yes,102,yes,2021-06,0: All Days (M-Su),2: Peak AM (6am-10am),29,15,26.980,0.566,2.000,6.000,22.000,29.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Addison Way,yes,102,yes,2021-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),93,16,26.980,0.586,5.000,8.000,23.000,29.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Addison Way,yes,102,yes,2021-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),75,15,26.980,0.569,3.000,8.000,23.000,31.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Addison Way,yes,102,yes,2021-06,0: All Days (M-Su),5: Late PM (7pm-12am),46,14,26.980,0.524,3.000,6.000,20.000,26.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Addison Way,yes,102,yes,2021-06,1: Monday (M-M),0: All Day (12am-12am),256,15,26.980,0.543,4.000,7.000,23.000,31.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Addison Way,yes,102,yes,2021-06,1: Monday (M-M),1: Early AM (12am-6am),7,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Addison Way,yes,102,yes,2021-06,1: Monday (M-M),2: Peak AM (6am-10am),31,14,26.980,0.521,N/A,N/A,N/A,N/A
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Addison Way,yes,102,yes,2021-06,1: Monday (M-M),3: Mid-Day (10am-3pm),86,17,26.980,0.622,5.000,9.000,29.000,32.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Addison Way,yes,102,yes,2021-06,1: Monday (M-M),4: Peak PM (3pm-7pm),85,13,26.980,0.490,4.000,7.000,17.000,26.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Addison Way,yes,102,yes,2021-06,1: Monday (M-M),5: Late PM (7pm-12am),47,12,26.980,0.460,4.000,5.000,17.000,26.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Addison Way,yes,102,yes,2021-06,2: Tuesday (Tu-Tu),0: All Day (12am-12am),257,15,26.980,0.556,3.000,7.000,19.000,23.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Addison Way,yes,102,yes,2021-06,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),16,17,26.980,0.638,N/A,N/A,N/A,N/A
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Addison Way,yes,102,yes,2021-06,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),33,13,26.980,0.466,2.000,2.000,19.000,19.000
