Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 88th Place,yes,89,yes,2023-06,0: All Days (M-Su),0: All Day (12am-12am),959,16,21.789,0.747,8.000,11.000,21.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 88th Place,yes,89,yes,2023-06,0: All Days (M-Su),1: Early AM (12am-6am),57,16,21.789,0.745,9.000,11.000,21.000,25.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 88th Place,yes,89,yes,2023-06,0: All Days (M-Su),2: Peak AM (6am-10am),132,17,21.789,0.777,9.000,12.000,22.000,25.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 88th Place,yes,89,yes,2023-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),277,16,21.789,0.749,8.000,12.000,21.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 88th Place,yes,89,yes,2023-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),276,16,21.789,0.748,8.000,11.000,21.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 88th Place,yes,89,yes,2023-06,0: All Days (M-Su),5: Late PM (7pm-12am),218,16,21.789,0.726,7.000,11.000,20.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 88th Place,yes,89,yes,2023-06,1: Monday (M-M),0: All Day (12am-12am),928,17,21.789,0.765,8.000,12.000,21.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 88th Place,yes,89,yes,2023-06,1: Monday (M-M),1: Early AM (12am-6am),46,17,21.789,0.772,7.000,9.000,26.000,29.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 88th Place,yes,89,yes,2023-06,1: Monday (M-M),2: Peak AM (6am-10am),133,18,21.789,0.829,11.000,14.000,22.000,25.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 88th Place,yes,89,yes,2023-06,1: Monday (M-M),3: Mid-Day (10am-3pm),275,17,21.789,0.776,7.000,12.000,21.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 88th Place,yes,89,yes,2023-06,1: Monday (M-M),4: Peak PM (3pm-7pm),274,16,21.789,0.753,6.000,12.000,21.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 88th Place,yes,89,yes,2023-06,1: Monday (M-M),5: Late PM (7pm-12am),199,16,21.789,0.722,8.000,11.000,19.000,22.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 88th Place,yes,89,yes,2023-06,2: Tuesday (Tu-Tu),0: All Day (12am-12am),969,17,21.789,0.766,9.000,12.000,21.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 88th Place,yes,89,yes,2023-06,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),53,17,21.789,0.782,13.000,13.000,22.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 88th Place,yes,89,yes,2023-06,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),152,17,21.789,0.768,6.000,12.000,21.000,25.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 88th Place,yes,89,yes,2023-06,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),272,17,21.789,0.762,8.000,12.000,21.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 88th Place,yes,89,yes,2023-06,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),292,17,21.789,0.792,9.000,13.000,21.000,25.000
