Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 88th Place,yes,89,yes,2021-06,0: All Days (M-Su),0: All Day (12am-12am),969,18,21.822,0.822,8.000,13.000,23.000,26.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 88th Place,yes,89,yes,2021-06,0: All Days (M-Su),1: Early AM (12am-6am),61,18,21.822,0.835,8.000,14.000,22.000,26.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 88th Place,yes,89,yes,2021-06,0: All Days (M-Su),2: Peak AM (6am-10am),132,19,21.822,0.864,11.000,14.000,24.000,27.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 88th Place,yes,89,yes,2021-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),259,18,21.822,0.827,8.000,13.000,23.000,27.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 88th Place,yes,89,yes,2021-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),290,18,21.822,0.824,9.000,13.000,23.000,27.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 88th Place,yes,89,yes,2021-06,0: All Days (M-Su),5: Late PM (7pm-12am),227,17,21.822,0.787,8.000,12.000,22.000,26.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 88th Place,yes,89,yes,2021-06,1: Monday (M-M),0: All Day (12am-12am),1036,18,21.822,0.836,9.000,14.000,24.000,27.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 88th Place,yes,89,yes,2021-06,1: Monday (M-M),1: Early AM (12am-6am),71,19,21.822,0.857,13.000,15.000,27.000,28.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 88th Place,yes,89,yes,2021-06,1: Monday (M-M),2: Peak AM (6am-10am),162,19,21.822,0.860,13.000,14.000,24.000,27.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 88th Place,yes,89,yes,2021-06,1: Monday (M-M),3: Mid-Day (10am-3pm),272,18,21.822,0.820,6.000,13.000,23.000,27.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 88th Place,yes,89,yes,2021-06,1: Monday (M-M),4: Peak PM (3pm-7pm),329,19,21.822,0.851,11.000,14.000,24.000,27.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 88th Place,yes,89,yes,2021-06,1: Monday (M-M),5: Late PM (7pm-12am),201,18,21.822,0.808,5.000,14.000,23.000,28.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 88th Place,yes,89,yes,2021-06,2: Tuesday (Tu-Tu),0: All Day (12am-12am),1007,18,21.822,0.822,8.000,13.000,23.000,27.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 88th Place,yes,89,yes,2021-06,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),49,18,21.822,0.834,14.000,14.000,21.000,24.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 88th Place,yes,89,yes,2021-06,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),143,20,21.822,0.895,9.000,15.000,25.000,27.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 88th Place,yes,89,yes,2021-06,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),260,18,21.822,0.846,10.000,14.000,23.000,27.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 88th Place,yes,89,yes,2021-06,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),342,17,21.822,0.798,5.000,12.000,22.000,26.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 88th Place,yes,89,yes,2021-06,2: Tuesday (Tu-Tu),5: Late PM (7pm-12am),212,17,21.822,0.781,7.000,12.000,22.000,26.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 88th Place,yes,89,yes,2021-06,3: Wednesday (W-W),0: All Day (12am-12am),904,18,21.822,0.838,9.000,14.000,23.000,26.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 88th Place,yes,89,yes,2021-06,3: Wednesday (W-W),1: Early AM (12am-6am),42,20,21.822,0.922,14.000,14.000,21.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 88th Place,yes,89,yes,2021-06,3: Wednesday (W-W),2: Peak AM (6am-10am),128,19,21.822,0.872,14.000,15.000,24.000,26.000
