Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2021-06,0: All Days (M-Su),0: All Day (12am-12am),1109,14,17.997,0.794,8.000,11.000,17.000,21.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2021-06,0: All Days (M-Su),1: Early AM (12am-6am),21,15,17.997,0.849,3.000,12.000,20.000,23.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2021-06,0: All Days (M-Su),2: Peak AM (6am-10am),137,15,17.997,0.816,10.000,12.000,17.000,20.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2021-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),400,14,17.997,0.800,8.000,11.000,17.000,21.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2021-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),384,14,17.997,0.776,8.000,11.000,17.000,20.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2021-06,0: All Days (M-Su),5: Late PM (7pm-12am),166,14,17.997,0.792,7.000,11.000,17.000,22.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2021-06,1: Monday (M-M),0: All Day (12am-12am),1012,14,17.997,0.779,8.000,11.000,16.000,19.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2021-06,1: Monday (M-M),1: Early AM (12am-6am),22,15,17.997,0.810,N/A,N/A,N/A,N/A
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2021-06,1: Monday (M-M),2: Peak AM (6am-10am),143,14,17.997,0.784,9.000,10.000,17.000,18.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2021-06,1: Monday (M-M),3: Mid-Day (10am-3pm),361,14,17.997,0.799,9.000,11.000,17.000,20.000
