Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-06,0: All Days (M-Su),0: All Day (12am-12am),773,16,23.632,0.696,8.000,10.000,21.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-06,0: All Days (M-Su),1: Early AM (12am-6am),43,20,23.632,0.829,12.000,14.000,25.000,33.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-06,0: All Days (M-Su),2: Peak AM (6am-10am),105,17,23.632,0.720,9.000,11.000,22.000,26.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),209,16,23.632,0.694,8.000,11.000,21.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),249,16,23.632,0.667,7.000,10.000,20.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-06,0: All Days (M-Su),5: Late PM (7pm-12am),167,16,23.632,0.693,7.000,10.000,21.000,27.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-06,1: Weekday (M-Th),0: All Day (12am-12am),798,16,23.632,0.697,8.000,11.000,21.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-06,1: Weekday (M-Th),1: Early AM (12am-6am),43,19,23.632,0.814,9.000,13.000,23.000,29.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-06,1: Weekday (M-Th),2: Peak AM (6am-10am),122,17,23.632,0.726,9.000,12.000,22.000,27.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-06,1: Weekday (M-Th),3: Mid-Day (10am-3pm),213,16,23.632,0.693,9.000,11.000,21.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-06,1: Weekday (M-Th),4: Peak PM (3pm-7pm),264,16,23.632,0.665,8.000,10.000,20.000,25.000
