Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2023-06,0: All Days (M-Su),0: All Day (12am-12am),574,15,19.962,0.748,7.000,10.000,20.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2023-06,0: All Days (M-Su),1: Early AM (12am-6am),39,17,19.962,0.830,9.000,11.000,21.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2023-06,0: All Days (M-Su),2: Peak AM (6am-10am),85,15,19.962,0.771,6.000,9.000,21.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2023-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),162,15,19.962,0.741,7.000,10.000,19.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2023-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),164,15,19.962,0.738,7.000,9.000,19.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2023-06,0: All Days (M-Su),5: Late PM (7pm-12am),123,15,19.962,0.730,7.000,9.000,19.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2023-06,1: Weekday (M-Th),0: All Day (12am-12am),585,15,19.962,0.741,7.000,10.000,19.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2023-06,1: Weekday (M-Th),1: Early AM (12am-6am),37,17,19.962,0.835,11.000,12.000,21.000,25.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2023-06,1: Weekday (M-Th),2: Peak AM (6am-10am),94,15,19.962,0.772,7.000,10.000,20.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2023-06,1: Weekday (M-Th),3: Mid-Day (10am-3pm),168,15,19.962,0.734,7.000,10.000,19.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2023-06,1: Weekday (M-Th),4: Peak PM (3pm-7pm),168,14,19.962,0.724,7.000,9.000,19.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2023-06,1: Weekday (M-Th),5: Late PM (7pm-12am),119,14,19.962,0.722,6.000,9.000,19.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2023-06,2: Weekend (Sa-Su),0: All Day (12am-12am),549,15,19.962,0.760,7.000,10.000,20.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2023-06,2: Weekend (Sa-Su),1: Early AM (12am-6am),43,16,19.962,0.812,7.000,10.000,21.000,28.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2023-06,2: Weekend (Sa-Su),2: Peak AM (6am-10am),57,15,19.962,0.756,7.000,11.000,20.000,25.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2023-06,2: Weekend (Sa-Su),3: Mid-Day (10am-3pm),149,15,19.962,0.739,7.000,10.000,19.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2023-06,2: Weekend (Sa-Su),4: Peak PM (3pm-7pm),159,15,19.962,0.765,7.000,10.000,20.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2023-06,2: Weekend (Sa-Su),5: Late PM (7pm-12am),142,15,19.962,0.760,7.000,10.000,19.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2023-07,0: All Days (M-Su),0: All Day (12am-12am),574,15,22.867,0.653,7.000,10.000,19.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2023-07,0: All Days (M-Su),1: Early AM (12am-6am),38,16,22.867,0.693,8.000,10.000,20.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2023-07,0: All Days (M-Su),2: Peak AM (6am-10am),73,15,22.867,0.665,6.000,10.000,19.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2023-07,0: All Days (M-Su),3: Mid-Day (10am-3pm),170,15,22.867,0.656,7.000,10.000,19.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2023-07,0: All Days (M-Su),4: Peak PM (3pm-7pm),150,15,22.867,0.643,7.000,10.000,19.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2023-07,0: All Days (M-Su),5: Late PM (7pm-12am),143,15,22.867,0.645,7.000,9.000,19.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2023-07,1: Weekday (M-Th),0: All Day (12am-12am),576,15,22.867,0.663,7.000,10.000,19.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2023-07,1: Weekday (M-Th),1: Early AM (12am-6am),35,16,22.867,0.719,8.000,10.000,21.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2023-07,1: Weekday (M-Th),2: Peak AM (6am-10am),82,15,22.867,0.670,8.000,11.000,19.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2023-07,1: Weekday (M-Th),3: Mid-Day (10am-3pm),164,15,22.867,0.668,6.000,10.000,19.000,23.000
