Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2023-06,0: All Days (M-Su),0: All Day (12am-12am),932,15,21.558,0.711,7.000,10.000,20.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2023-06,0: All Days (M-Su),1: Early AM (12am-6am),62,17,21.558,0.770,8.000,11.000,21.000,25.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2023-06,0: All Days (M-Su),2: Peak AM (6am-10am),155,16,21.558,0.725,7.000,11.000,20.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2023-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),265,15,21.558,0.716,7.000,10.000,20.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2023-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),260,15,21.558,0.698,6.000,10.000,20.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2023-06,0: All Days (M-Su),5: Late PM (7pm-12am),190,15,21.558,0.691,7.000,10.000,19.000,22.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2023-06,1: Weekday (M-Th),0: All Day (12am-12am),970,15,21.558,0.705,6.000,10.000,20.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2023-06,1: Weekday (M-Th),1: Early AM (12am-6am),62,17,21.558,0.769,7.000,12.000,21.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2023-06,1: Weekday (M-Th),2: Peak AM (6am-10am),178,15,21.558,0.714,6.000,10.000,20.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2023-06,1: Weekday (M-Th),3: Mid-Day (10am-3pm),267,15,21.558,0.716,7.000,10.000,20.000,25.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2023-06,1: Weekday (M-Th),4: Peak PM (3pm-7pm),271,15,21.558,0.688,6.000,10.000,19.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2023-06,1: Weekday (M-Th),5: Late PM (7pm-12am),192,15,21.558,0.682,6.000,10.000,19.000,22.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2023-06,2: Weekend (Sa-Su),0: All Day (12am-12am),828,15,21.558,0.717,7.000,11.000,20.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2023-06,2: Weekend (Sa-Su),1: Early AM (12am-6am),65,15,21.558,0.714,7.000,10.000,19.000,21.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2023-06,2: Weekend (Sa-Su),2: Peak AM (6am-10am),95,16,21.558,0.743,7.000,11.000,20.000,25.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2023-06,2: Weekend (Sa-Su),3: Mid-Day (10am-3pm),236,15,21.558,0.713,7.000,11.000,20.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2023-06,2: Weekend (Sa-Su),4: Peak PM (3pm-7pm),236,15,21.558,0.715,7.000,10.000,20.000,23.000
