Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-06,0: All Days (M-Su),0: All Day (12am-12am),1223,17,22.649,0.745,8.000,12.000,22.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-06,0: All Days (M-Su),1: Early AM (12am-6am),69,18,22.649,0.800,11.000,14.000,23.000,27.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-06,0: All Days (M-Su),2: Peak AM (6am-10am),194,17,22.649,0.772,9.000,12.000,22.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),357,17,22.649,0.740,8.000,12.000,21.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),369,17,22.649,0.732,8.000,11.000,21.000,26.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-06,0: All Days (M-Su),5: Late PM (7pm-12am),235,17,22.649,0.737,9.000,11.000,21.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-06,1: Weekday (M-Th),0: All Day (12am-12am),1311,17,22.649,0.744,8.000,12.000,22.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-06,1: Weekday (M-Th),1: Early AM (12am-6am),69,18,22.649,0.793,11.000,14.000,23.000,27.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-06,1: Weekday (M-Th),2: Peak AM (6am-10am),234,17,22.649,0.772,9.000,12.000,22.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-06,1: Weekday (M-Th),3: Mid-Day (10am-3pm),377,17,22.649,0.737,9.000,12.000,21.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-06,1: Weekday (M-Th),4: Peak PM (3pm-7pm),400,16,22.649,0.727,7.000,11.000,21.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-06,1: Weekday (M-Th),5: Late PM (7pm-12am),230,17,22.649,0.738,8.000,11.000,21.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-06,2: Weekend (Sa-Su),0: All Day (12am-12am),916,17,22.649,0.741,8.000,11.000,22.000,26.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-06,2: Weekend (Sa-Su),1: Early AM (12am-6am),64,18,22.649,0.793,10.000,11.000,23.000,38.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-06,2: Weekend (Sa-Su),2: Peak AM (6am-10am),98,17,22.649,0.759,9.000,12.000,22.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-06,2: Weekend (Sa-Su),3: Mid-Day (10am-3pm),284,17,22.649,0.742,8.000,11.000,21.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-06,2: Weekend (Sa-Su),4: Peak PM (3pm-7pm),261,17,22.649,0.730,8.000,11.000,22.000,28.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-06,2: Weekend (Sa-Su),5: Late PM (7pm-12am),209,17,22.649,0.729,9.000,11.000,21.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-07,0: All Days (M-Su),0: All Day (12am-12am),1196,17,21.308,0.790,8.000,12.000,22.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-07,0: All Days (M-Su),1: Early AM (12am-6am),74,18,21.308,0.832,10.000,13.000,22.000,26.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-07,0: All Days (M-Su),2: Peak AM (6am-10am),161,17,21.308,0.818,10.000,13.000,22.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-07,0: All Days (M-Su),3: Mid-Day (10am-3pm),320,17,21.308,0.798,9.000,12.000,21.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-07,0: All Days (M-Su),4: Peak PM (3pm-7pm),374,17,21.308,0.776,8.000,11.000,21.000,24.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-07,0: All Days (M-Su),5: Late PM (7pm-12am),268,16,21.308,0.771,8.000,11.000,22.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-07,1: Weekday (M-Th),0: All Day (12am-12am),1282,17,21.308,0.786,9.000,12.000,21.000,24.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-07,1: Weekday (M-Th),1: Early AM (12am-6am),77,18,21.308,0.845,11.000,13.000,23.000,26.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-07,1: Weekday (M-Th),2: Peak AM (6am-10am),176,17,21.308,0.816,10.000,13.000,22.000,24.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-07,1: Weekday (M-Th),3: Mid-Day (10am-3pm),346,17,21.308,0.789,9.000,12.000,21.000,24.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-07,1: Weekday (M-Th),4: Peak PM (3pm-7pm),398,16,21.308,0.774,8.000,11.000,21.000,24.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-07,1: Weekday (M-Th),5: Late PM (7pm-12am),285,16,21.308,0.767,9.000,11.000,21.000,24.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-07,2: Weekend (Sa-Su),0: All Day (12am-12am),862,17,21.308,0.800,9.000,12.000,22.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-07,2: Weekend (Sa-Su),1: Early AM (12am-6am),66,17,21.308,0.792,11.000,12.000,21.000,23.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-07,2: Weekend (Sa-Su),2: Peak AM (6am-10am),99,18,21.308,0.826,9.000,13.000,22.000,26.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-07,2: Weekend (Sa-Su),3: Mid-Day (10am-3pm),234,17,21.308,0.814,9.000,12.000,22.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-07,2: Weekend (Sa-Su),4: Peak PM (3pm-7pm),267,17,21.308,0.784,8.000,12.000,21.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-07,2: Weekend (Sa-Su),5: Late PM (7pm-12am),195,17,21.308,0.793,8.000,12.000,22.000,26.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-08,0: All Days (M-Su),0: All Day (12am-12am),1177,17,22.412,0.748,8.000,11.000,21.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-08,0: All Days (M-Su),1: Early AM (12am-6am),68,18,22.412,0.797,10.000,12.000,22.000,30.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-08,0: All Days (M-Su),2: Peak AM (6am-10am),189,17,22.412,0.771,8.000,12.000,22.000,26.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-08,0: All Days (M-Su),3: Mid-Day (10am-3pm),347,17,22.412,0.753,9.000,12.000,21.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Neptune Avenue,yes,356,yes,2021-08,0: All Days (M-Su),4: Peak PM (3pm-7pm),338,16,22.412,0.736,8.000,11.000,21.000,25.000
