Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,0: All Days (M-Su),0: All Day (12am-12am),1857,15,19.428,0.788,10.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,0: All Days (M-Su),1: Early AM (12am-6am),62,14,19.428,0.731,7.000,20.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,0: All Days (M-Su),2: Peak AM (6am-10am),157,18,19.428,0.908,13.000,22.000,25.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),662,15,19.428,0.782,10.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),611,15,19.428,0.784,11.000,20.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,0: All Days (M-Su),5: Late PM (7pm-12am),365,15,19.428,0.762,8.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,1: Monday (M-M),0: All Day (12am-12am),1678,16,19.428,0.803,10.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,1: Monday (M-M),1: Early AM (12am-6am),41,14,19.428,0.728,7.000,21.000,26.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,1: Monday (M-M),2: Peak AM (6am-10am),154,17,19.428,0.891,13.000,21.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,1: Monday (M-M),3: Mid-Day (10am-3pm),523,16,19.428,0.806,10.000,20.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,1: Monday (M-M),4: Peak PM (3pm-7pm),610,16,19.428,0.805,11.000,20.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,1: Monday (M-M),5: Late PM (7pm-12am),350,15,19.428,0.768,9.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,2: Tuesday (Tu-Tu),0: All Day (12am-12am),1775,16,19.428,0.827,11.000,21.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),36,16,19.428,0.833,11.000,22.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),214,18,19.428,0.948,14.000,23.000,25.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),559,16,19.428,0.837,12.000,21.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),582,16,19.428,0.831,11.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,2: Tuesday (Tu-Tu),5: Late PM (7pm-12am),385,14,19.428,0.739,8.000,20.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,3: Wednesday (W-W),0: All Day (12am-12am),1754,16,19.428,0.829,11.000,21.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,3: Wednesday (W-W),1: Early AM (12am-6am),45,15,19.428,0.797,10.000,20.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,3: Wednesday (W-W),2: Peak AM (6am-10am),178,18,19.428,0.927,14.000,22.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,3: Wednesday (W-W),3: Mid-Day (10am-3pm),575,16,19.428,0.820,11.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,3: Wednesday (W-W),4: Peak PM (3pm-7pm),575,16,19.428,0.832,12.000,20.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,3: Wednesday (W-W),5: Late PM (7pm-12am),382,15,19.428,0.795,10.000,20.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,4: Thursday (Th-Th),0: All Day (12am-12am),1828,15,19.428,0.796,10.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,4: Thursday (Th-Th),1: Early AM (12am-6am),38,14,19.428,0.696,3.000,20.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,4: Thursday (Th-Th),2: Peak AM (6am-10am),188,18,19.428,0.937,14.000,22.000,25.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),721,15,19.428,0.788,11.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),607,15,19.428,0.788,10.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,4: Thursday (Th-Th),5: Late PM (7pm-12am),274,15,19.428,0.754,8.000,20.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,5: Friday (F-F),0: All Day (12am-12am),2300,15,19.428,0.768,10.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,5: Friday (F-F),1: Early AM (12am-6am),57,15,19.428,0.794,7.000,20.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,5: Friday (F-F),2: Peak AM (6am-10am),169,17,19.428,0.887,13.000,22.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,5: Friday (F-F),3: Mid-Day (10am-3pm),784,15,19.428,0.777,11.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,5: Friday (F-F),4: Peak PM (3pm-7pm),775,15,19.428,0.749,10.000,19.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,5: Friday (F-F),5: Late PM (7pm-12am),515,14,19.428,0.742,7.000,20.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,6: Saturday (Sa-Sa),0: All Day (12am-12am),2052,14,19.428,0.744,9.000,19.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,6: Saturday (Sa-Sa),1: Early AM (12am-6am),104,14,19.428,0.708,7.000,20.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,6: Saturday (Sa-Sa),2: Peak AM (6am-10am),111,16,19.428,0.822,10.000,21.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,6: Saturday (Sa-Sa),3: Mid-Day (10am-3pm),767,14,19.428,0.743,10.000,19.000,21.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,6: Saturday (Sa-Sa),4: Peak PM (3pm-7pm),666,14,19.428,0.735,10.000,19.000,21.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,6: Saturday (Sa-Sa),5: Late PM (7pm-12am),403,15,19.428,0.748,8.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,7: Sunday (Su-Su),0: All Day (12am-12am),1644,15,19.428,0.757,9.000,20.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,7: Sunday (Su-Su),1: Early AM (12am-6am),121,13,19.428,0.686,6.000,19.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,7: Sunday (Su-Su),2: Peak AM (6am-10am),75,17,19.428,0.878,12.000,22.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,7: Sunday (Su-Su),3: Mid-Day (10am-3pm),712,14,19.428,0.736,9.000,19.000,21.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,7: Sunday (Su-Su),4: Peak PM (3pm-7pm),471,15,19.428,0.765,10.000,20.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-06,7: Sunday (Su-Su),5: Late PM (7pm-12am),265,16,19.428,0.799,8.000,20.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-07,0: All Days (M-Su),0: All Day (12am-12am),1835,15,19.323,0.775,10.000,20.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-07,0: All Days (M-Su),1: Early AM (12am-6am),63,14,19.323,0.733,6.000,20.000,25.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-07,0: All Days (M-Su),2: Peak AM (6am-10am),131,17,19.323,0.893,12.000,22.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-07,0: All Days (M-Su),3: Mid-Day (10am-3pm),658,15,19.323,0.765,10.000,20.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-07,0: All Days (M-Su),4: Peak PM (3pm-7pm),600,15,19.323,0.773,10.000,20.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-07,0: All Days (M-Su),5: Late PM (7pm-12am),384,15,19.323,0.766,8.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-07,1: Monday (M-M),0: All Day (12am-12am),1477,16,19.323,0.815,10.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-07,1: Monday (M-M),1: Early AM (12am-6am),42,14,19.323,0.718,4.000,19.000,21.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-07,1: Monday (M-M),2: Peak AM (6am-10am),133,18,19.323,0.943,14.000,23.000,25.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-07,1: Monday (M-M),3: Mid-Day (10am-3pm),504,16,19.323,0.843,12.000,21.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-07,1: Monday (M-M),4: Peak PM (3pm-7pm),483,15,19.323,0.785,10.000,20.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-07,1: Monday (M-M),5: Late PM (7pm-12am),315,15,19.323,0.775,9.000,20.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-07,2: Tuesday (Tu-Tu),0: All Day (12am-12am),1633,16,19.323,0.808,11.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-07,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),42,13,19.323,0.680,5.000,19.000,21.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-07,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),129,18,19.323,0.909,14.000,22.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-07,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),508,16,19.323,0.812,10.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-07,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),617,15,19.323,0.801,11.000,20.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-07,2: Tuesday (Tu-Tu),5: Late PM (7pm-12am),337,15,19.323,0.791,10.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-07,3: Wednesday (W-W),0: All Day (12am-12am),1886,16,19.323,0.803,11.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-07,3: Wednesday (W-W),1: Early AM (12am-6am),32,17,19.323,0.867,9.000,22.000,25.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-07,3: Wednesday (W-W),2: Peak AM (6am-10am),175,17,19.323,0.894,12.000,22.000,25.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-07,3: Wednesday (W-W),3: Mid-Day (10am-3pm),618,15,19.323,0.793,11.000,19.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-07,3: Wednesday (W-W),4: Peak PM (3pm-7pm),634,15,19.323,0.795,11.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-07,3: Wednesday (W-W),5: Late PM (7pm-12am),427,15,19.323,0.784,10.000,20.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-07,4: Thursday (Th-Th),0: All Day (12am-12am),1864,15,19.323,0.793,10.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-07,4: Thursday (Th-Th),1: Early AM (12am-6am),26,16,19.323,0.809,6.000,20.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-07,4: Thursday (Th-Th),2: Peak AM (6am-10am),146,17,19.323,0.886,12.000,21.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-07,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),591,15,19.323,0.783,10.000,20.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-07,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),608,15,19.323,0.788,10.000,20.000,23.000
