Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2023-06,0: All Days (M-Su),0: All Day (12am-12am),1584,15,17.053,0.874,7.000,10.000,19.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2023-06,0: All Days (M-Su),1: Early AM (12am-6am),61,14,17.053,0.814,5.000,9.000,18.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2023-06,0: All Days (M-Su),2: Peak AM (6am-10am),171,15,17.053,0.899,7.000,10.000,20.000,25.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2023-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),380,15,17.053,0.881,7.000,10.000,19.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2023-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),635,15,17.053,0.894,8.000,11.000,19.000,25.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2023-06,0: All Days (M-Su),5: Late PM (7pm-12am),337,14,17.053,0.823,6.000,9.000,18.000,22.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2023-06,1: Monday (M-M),0: All Day (12am-12am),1205,14,17.053,0.845,6.000,10.000,19.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2023-06,1: Monday (M-M),1: Early AM (12am-6am),50,14,17.053,0.808,8.000,8.000,20.000,22.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2023-06,1: Monday (M-M),2: Peak AM (6am-10am),186,16,17.053,0.937,9.000,12.000,20.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2023-06,1: Monday (M-M),3: Mid-Day (10am-3pm),328,14,17.053,0.838,6.000,9.000,18.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2023-06,1: Monday (M-M),4: Peak PM (3pm-7pm),384,14,17.053,0.832,7.000,9.000,18.000,22.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2023-06,1: Monday (M-M),5: Late PM (7pm-12am),256,14,17.053,0.813,5.000,9.000,18.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2023-06,2: Tuesday (Tu-Tu),0: All Day (12am-12am),1539,15,17.053,0.883,7.000,11.000,19.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2023-06,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),57,12,17.053,0.726,7.000,8.000,16.000,17.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2023-06,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),214,16,17.053,0.925,8.000,11.000,20.000,28.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2023-06,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),349,15,17.053,0.899,8.000,11.000,19.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2023-06,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),615,15,17.053,0.900,8.000,11.000,19.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2023-06,2: Tuesday (Tu-Tu),5: Late PM (7pm-12am),304,14,17.053,0.827,6.000,10.000,18.000,22.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2023-06,3: Wednesday (W-W),0: All Day (12am-12am),1850,15,17.053,0.892,8.000,11.000,19.000,25.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2023-06,3: Wednesday (W-W),1: Early AM (12am-6am),41,16,17.053,0.925,11.000,12.000,24.000,28.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2023-06,3: Wednesday (W-W),2: Peak AM (6am-10am),172,15,17.053,0.863,8.000,10.000,19.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2023-06,3: Wednesday (W-W),3: Mid-Day (10am-3pm),383,15,17.053,0.902,7.000,10.000,19.000,29.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2023-06,3: Wednesday (W-W),4: Peak PM (3pm-7pm),920,15,17.053,0.908,9.000,12.000,19.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2023-06,3: Wednesday (W-W),5: Late PM (7pm-12am),333,14,17.053,0.844,8.000,10.000,18.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2023-06,4: Thursday (Th-Th),0: All Day (12am-12am),2135,15,17.053,0.891,8.000,11.000,19.000,25.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2023-06,4: Thursday (Th-Th),1: Early AM (12am-6am),42,13,17.053,0.780,8.000,10.000,18.000,22.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2023-06,4: Thursday (Th-Th),2: Peak AM (6am-10am),238,15,17.053,0.889,7.000,10.000,19.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2023-06,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),371,16,17.053,0.914,7.000,11.000,20.000,27.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2023-06,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),1060,16,17.053,0.910,8.000,11.000,19.000,25.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2023-06,4: Thursday (Th-Th),5: Late PM (7pm-12am),423,14,17.053,0.836,8.000,10.000,18.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2023-06,5: Friday (F-F),0: All Day (12am-12am),1683,15,17.053,0.881,7.000,10.000,19.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2023-06,5: Friday (F-F),1: Early AM (12am-6am),59,13,17.053,0.789,2.000,8.000,18.000,21.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2023-06,5: Friday (F-F),2: Peak AM (6am-10am),182,15,17.053,0.891,6.000,10.000,20.000,25.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2023-06,5: Friday (F-F),3: Mid-Day (10am-3pm),418,15,17.053,0.885,7.000,11.000,19.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2023-06,5: Friday (F-F),4: Peak PM (3pm-7pm),682,16,17.053,0.921,9.000,11.000,20.000,28.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2023-06,5: Friday (F-F),5: Late PM (7pm-12am),341,14,17.053,0.808,7.000,9.000,18.000,21.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2023-06,6: Saturday (Sa-Sa),0: All Day (12am-12am),1385,15,17.053,0.856,6.000,10.000,19.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2023-06,6: Saturday (Sa-Sa),1: Early AM (12am-6am),93,15,17.053,0.879,6.000,9.000,19.000,25.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2023-06,6: Saturday (Sa-Sa),2: Peak AM (6am-10am),101,15,17.053,0.876,5.000,9.000,19.000,28.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2023-06,6: Saturday (Sa-Sa),3: Mid-Day (10am-3pm),471,15,17.053,0.872,7.000,10.000,18.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2023-06,6: Saturday (Sa-Sa),4: Peak PM (3pm-7pm),350,15,17.053,0.862,8.000,11.000,18.000,22.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2023-06,6: Saturday (Sa-Sa),5: Late PM (7pm-12am),369,14,17.053,0.818,5.000,8.000,19.000,24.000
