Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2021-06,0: All Days (M-Su),0: All Day (12am-12am),989,15,23.489,0.652,7.000,10.000,20.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2021-06,0: All Days (M-Su),1: Early AM (12am-6am),33,15,23.489,0.655,8.000,11.000,21.000,30.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2021-06,0: All Days (M-Su),2: Peak AM (6am-10am),115,16,23.489,0.677,7.000,10.000,20.000,29.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2021-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),334,15,23.489,0.658,7.000,11.000,19.000,24.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2021-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),301,15,23.489,0.659,7.000,11.000,20.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2021-06,0: All Days (M-Su),5: Late PM (7pm-12am),207,15,23.489,0.619,5.000,9.000,19.000,24.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2021-06,1: Monday (M-M),0: All Day (12am-12am),901,15,23.489,0.652,8.000,11.000,20.000,24.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2021-06,1: Monday (M-M),1: Early AM (12am-6am),23,12,23.489,0.523,N/A,N/A,N/A,N/A
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2021-06,1: Monday (M-M),2: Peak AM (6am-10am),116,16,23.489,0.675,9.000,11.000,20.000,36.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2021-06,1: Monday (M-M),3: Mid-Day (10am-3pm),311,16,23.489,0.668,8.000,11.000,20.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2021-06,1: Monday (M-M),4: Peak PM (3pm-7pm),278,15,23.489,0.658,7.000,11.000,20.000,24.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2021-06,1: Monday (M-M),5: Late PM (7pm-12am),172,14,23.489,0.616,7.000,10.000,18.000,22.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2021-06,2: Tuesday (Tu-Tu),0: All Day (12am-12am),997,16,23.489,0.668,7.000,10.000,20.000,27.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,Nebraska Avenue East,yes,234,yes,2021-06,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),22,14,23.489,0.590,5.000,12.000,20.000,22.000
