Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,,North Serrano Avenue,yes,359,yes,2020-06,0: All Days (M-Su),0: All Day (12am-12am),966,15,22.796,0.664,3.000,6.000,20.000,24.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,,North Serrano Avenue,yes,359,yes,2020-06,0: All Days (M-Su),1: Early AM (12am-6am),63,15,22.796,0.654,3.000,5.000,18.000,21.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,,North Serrano Avenue,yes,359,yes,2020-06,0: All Days (M-Su),2: Peak AM (6am-10am),110,17,22.796,0.730,3.000,6.000,22.000,26.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,,North Serrano Avenue,yes,359,yes,2020-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),252,16,22.796,0.712,3.000,7.000,21.000,28.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,,North Serrano Avenue,yes,359,yes,2020-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),287,15,22.796,0.655,3.000,8.000,20.000,24.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,,North Serrano Avenue,yes,359,yes,2020-06,0: All Days (M-Su),5: Late PM (7pm-12am),254,14,22.796,0.600,2.000,4.000,19.000,23.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,,North Serrano Avenue,yes,359,yes,2020-06,1: Monday (M-M),0: All Day (12am-12am),1003,16,22.796,0.688,4.000,10.000,22.000,26.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,,North Serrano Avenue,yes,359,yes,2020-06,1: Monday (M-M),1: Early AM (12am-6am),36,14,22.796,0.604,N/A,N/A,N/A,N/A
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,,North Serrano Avenue,yes,359,yes,2020-06,1: Monday (M-M),2: Peak AM (6am-10am),113,16,22.796,0.689,3.000,11.000,23.000,25.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,,North Serrano Avenue,yes,359,yes,2020-06,1: Monday (M-M),3: Mid-Day (10am-3pm),267,16,22.796,0.714,4.000,8.000,24.000,29.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,,North Serrano Avenue,yes,359,yes,2020-06,1: Monday (M-M),4: Peak PM (3pm-7pm),375,16,22.796,0.681,7.000,10.000,20.000,26.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,,North Serrano Avenue,yes,359,yes,2020-06,1: Monday (M-M),5: Late PM (7pm-12am),211,16,22.796,0.683,2.000,6.000,19.000,22.000
