Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Serrano Avenue,yes,359,yes,2022-06,0: All Days (M-Su),0: All Day (12am-12am),693,13,18.203,0.735,3.000,7.000,19.000,26.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Serrano Avenue,yes,359,yes,2022-06,0: All Days (M-Su),1: Early AM (12am-6am),67,13,18.203,0.728,2.000,8.000,18.000,25.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Serrano Avenue,yes,359,yes,2022-06,0: All Days (M-Su),2: Peak AM (6am-10am),91,14,18.203,0.767,3.000,7.000,19.000,28.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Serrano Avenue,yes,359,yes,2022-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),165,14,18.203,0.752,4.000,8.000,19.000,25.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Serrano Avenue,yes,359,yes,2022-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),195,13,18.203,0.707,3.000,6.000,19.000,26.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Serrano Avenue,yes,359,yes,2022-06,0: All Days (M-Su),5: Late PM (7pm-12am),175,13,18.203,0.735,4.000,7.000,19.000,26.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Serrano Avenue,yes,359,yes,2022-06,1: Monday (M-M),0: All Day (12am-12am),580,13,18.203,0.725,4.000,7.000,19.000,25.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Serrano Avenue,yes,359,yes,2022-06,1: Monday (M-M),1: Early AM (12am-6am),46,11,18.203,0.617,2.000,4.000,11.000,20.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Serrano Avenue,yes,359,yes,2022-06,1: Monday (M-M),2: Peak AM (6am-10am),88,15,18.203,0.814,6.000,8.000,18.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Serrano Avenue,yes,359,yes,2022-06,1: Monday (M-M),3: Mid-Day (10am-3pm),135,13,18.203,0.718,2.000,7.000,18.000,23.000
