Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East Rosewood Avenue,yes,270,yes,2021-06,0: All Days (M-Su),0: All Day (12am-12am),877,14,24.412,0.591,8.000,11.000,18.000,22.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East Rosewood Avenue,yes,270,yes,2021-06,0: All Days (M-Su),1: Early AM (12am-6am),19,15,24.412,0.624,9.000,11.000,22.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East Rosewood Avenue,yes,270,yes,2021-06,0: All Days (M-Su),2: Peak AM (6am-10am),69,15,24.412,0.595,7.000,11.000,18.000,22.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East Rosewood Avenue,yes,270,yes,2021-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),318,14,24.412,0.589,9.000,11.000,17.000,22.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East Rosewood Avenue,yes,270,yes,2021-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),341,14,24.412,0.587,8.000,11.000,17.000,22.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East Rosewood Avenue,yes,270,yes,2021-06,0: All Days (M-Su),5: Late PM (7pm-12am),131,15,24.412,0.599,8.000,11.000,19.000,22.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East Rosewood Avenue,yes,270,yes,2021-06,1: Monday (M-M),0: All Day (12am-12am),731,14,24.412,0.591,8.000,11.000,18.000,23.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East Rosewood Avenue,yes,270,yes,2021-06,1: Monday (M-M),1: Early AM (12am-6am),17,17,24.412,0.682,N/A,N/A,N/A,N/A
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East Rosewood Avenue,yes,270,yes,2021-06,1: Monday (M-M),2: Peak AM (6am-10am),65,14,24.412,0.570,8.000,9.000,15.000,21.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East Rosewood Avenue,yes,270,yes,2021-06,1: Monday (M-M),3: Mid-Day (10am-3pm),270,14,24.412,0.587,8.000,10.000,18.000,23.000
