Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East Rosewood Avenue,yes,270,yes,2023-06,0: All Days (M-Su),0: All Day (12am-12am),1020,14,16.745,0.841,9.000,11.000,17.000,21.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East Rosewood Avenue,yes,270,yes,2023-06,0: All Days (M-Su),1: Early AM (12am-6am),17,14,16.745,0.854,4.000,9.000,17.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East Rosewood Avenue,yes,270,yes,2023-06,0: All Days (M-Su),2: Peak AM (6am-10am),85,15,16.745,0.868,9.000,11.000,17.000,22.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East Rosewood Avenue,yes,270,yes,2023-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),301,14,16.745,0.844,8.000,11.000,17.000,22.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East Rosewood Avenue,yes,270,yes,2023-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),448,14,16.745,0.834,9.000,11.000,16.000,21.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East Rosewood Avenue,yes,270,yes,2023-06,0: All Days (M-Su),5: Late PM (7pm-12am),170,14,16.745,0.839,8.000,11.000,17.000,21.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East Rosewood Avenue,yes,270,yes,2023-06,1: Monday (M-M),0: All Day (12am-12am),820,14,16.745,0.859,9.000,11.000,17.000,22.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East Rosewood Avenue,yes,270,yes,2023-06,1: Monday (M-M),1: Early AM (12am-6am),4,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East Rosewood Avenue,yes,270,yes,2023-06,1: Monday (M-M),2: Peak AM (6am-10am),84,14,16.745,0.861,10.000,11.000,17.000,21.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East Rosewood Avenue,yes,270,yes,2023-06,1: Monday (M-M),3: Mid-Day (10am-3pm),249,14,16.745,0.854,9.000,11.000,16.000,22.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East Rosewood Avenue,yes,270,yes,2023-06,1: Monday (M-M),4: Peak PM (3pm-7pm),366,14,16.745,0.861,9.000,11.000,17.000,22.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East Rosewood Avenue,yes,270,yes,2023-06,1: Monday (M-M),5: Late PM (7pm-12am),116,14,16.745,0.863,9.000,11.000,18.000,22.000
