Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,0: All Days (M-Su),0: All Day (12am-12am),785,17,25.393,0.662
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,0: All Days (M-Su),1: Early AM (12am-6am),34,17,25.393,0.683
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,0: All Days (M-Su),2: Peak AM (6am-10am),138,17,25.393,0.676
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),211,17,25.393,0.663
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,0: All Days (M-Su),4: Peak PM (3pm-7pm),288,17,25.393,0.655
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,0: All Days (M-Su),5: Late PM (7pm-12am),114,17,25.393,0.653
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,1: Monday (M-M),0: All Day (12am-12am),764,17,25.393,0.663
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,1: Monday (M-M),1: Early AM (12am-6am),31,18,25.393,0.690
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,1: Monday (M-M),2: Peak AM (6am-10am),149,17,25.393,0.678
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,1: Monday (M-M),3: Mid-Day (10am-3pm),199,17,25.393,0.663
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,1: Monday (M-M),4: Peak PM (3pm-7pm),287,17,25.393,0.653
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,1: Monday (M-M),5: Late PM (7pm-12am),99,17,25.393,0.664
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2: Tuesday (Tu-Tu),0: All Day (12am-12am),833,17,25.393,0.663
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),29,17,25.393,0.681
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),166,17,25.393,0.688
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),209,17,25.393,0.656
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),319,17,25.393,0.661
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2: Tuesday (Tu-Tu),5: Late PM (7pm-12am),110,16,25.393,0.637
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,3: Wednesday (W-W),0: All Day (12am-12am),901,17,25.393,0.661
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,3: Wednesday (W-W),1: Early AM (12am-6am),32,17,25.393,0.676
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,3: Wednesday (W-W),2: Peak AM (6am-10am),182,17,25.393,0.673
