Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,0: All Days (M-Su),0: All Day (12am-12am),737,16,19.002,0.855,10.000,13.000,20.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,0: All Days (M-Su),1: Early AM (12am-6am),49,17,19.002,0.905,8.000,13.000,21.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,0: All Days (M-Su),2: Peak AM (6am-10am),126,16,19.002,0.867,10.000,13.000,20.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),189,16,19.002,0.850,9.000,12.000,20.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),252,16,19.002,0.842,10.000,13.000,20.000,22.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,0: All Days (M-Su),5: Late PM (7pm-12am),121,16,19.002,0.856,10.000,13.000,20.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,1: Monday (M-M),0: All Day (12am-12am),719,16,19.002,0.840,10.000,13.000,20.000,21.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,1: Monday (M-M),1: Early AM (12am-6am),61,17,19.002,0.875,7.000,12.000,20.000,21.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,1: Monday (M-M),2: Peak AM (6am-10am),120,16,19.002,0.857,7.000,13.000,21.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,1: Monday (M-M),3: Mid-Day (10am-3pm),180,16,19.002,0.837,10.000,12.000,20.000,21.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,1: Monday (M-M),4: Peak PM (3pm-7pm),255,16,19.002,0.823,9.000,12.000,19.000,20.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,1: Monday (M-M),5: Late PM (7pm-12am),102,16,19.002,0.845,13.000,14.000,20.000,21.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,2: Tuesday (Tu-Tu),0: All Day (12am-12am),791,16,19.002,0.865,10.000,13.000,20.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),52,18,19.002,0.950,5.000,14.000,22.000,31.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),177,16,19.002,0.862,10.000,12.000,20.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),203,17,19.002,0.871,10.000,13.000,21.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),236,16,19.002,0.842,9.000,13.000,20.000,22.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,2: Tuesday (Tu-Tu),5: Late PM (7pm-12am),123,16,19.002,0.865,10.000,12.000,21.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,3: Wednesday (W-W),0: All Day (12am-12am),780,16,19.002,0.848,10.000,12.000,20.000,22.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,3: Wednesday (W-W),1: Early AM (12am-6am),43,18,19.002,0.926,13.000,14.000,22.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,3: Wednesday (W-W),2: Peak AM (6am-10am),147,16,19.002,0.846,7.000,13.000,20.000,21.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,3: Wednesday (W-W),3: Mid-Day (10am-3pm),171,16,19.002,0.843,10.000,12.000,20.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,3: Wednesday (W-W),4: Peak PM (3pm-7pm),307,16,19.002,0.835,9.000,12.000,20.000,22.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,3: Wednesday (W-W),5: Late PM (7pm-12am),111,16,19.002,0.862,11.000,13.000,20.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,4: Thursday (Th-Th),0: All Day (12am-12am),840,16,19.002,0.851,9.000,13.000,20.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,4: Thursday (Th-Th),1: Early AM (12am-6am),42,17,19.002,0.910,6.000,13.000,25.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,4: Thursday (Th-Th),2: Peak AM (6am-10am),138,17,19.002,0.870,12.000,14.000,20.000,22.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),202,16,19.002,0.844,9.000,12.000,20.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),327,16,19.002,0.841,10.000,13.000,20.000,22.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,4: Thursday (Th-Th),5: Late PM (7pm-12am),132,16,19.002,0.846,8.000,12.000,21.000,25.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,5: Friday (F-F),0: All Day (12am-12am),782,16,19.002,0.866,10.000,13.000,20.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,5: Friday (F-F),1: Early AM (12am-6am),46,18,19.002,0.924,10.000,11.000,26.000,30.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,5: Friday (F-F),2: Peak AM (6am-10am),148,17,19.002,0.882,11.000,13.000,21.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,5: Friday (F-F),3: Mid-Day (10am-3pm),185,17,19.002,0.870,9.000,12.000,20.000,22.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,5: Friday (F-F),4: Peak PM (3pm-7pm),258,16,19.002,0.852,9.000,13.000,20.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,5: Friday (F-F),5: Late PM (7pm-12am),144,16,19.002,0.851,10.000,13.000,20.000,22.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,6: Saturday (Sa-Sa),0: All Day (12am-12am),703,16,19.002,0.852,9.000,12.000,20.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,6: Saturday (Sa-Sa),1: Early AM (12am-6am),47,16,19.002,0.821,3.000,13.000,20.000,21.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,6: Saturday (Sa-Sa),2: Peak AM (6am-10am),73,17,19.002,0.870,10.000,12.000,21.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,6: Saturday (Sa-Sa),3: Mid-Day (10am-3pm),228,16,19.002,0.854,10.000,13.000,21.000,22.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,6: Saturday (Sa-Sa),4: Peak PM (3pm-7pm),219,16,19.002,0.844,9.000,13.000,20.000,22.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,6: Saturday (Sa-Sa),5: Late PM (7pm-12am),135,16,19.002,0.866,10.000,12.000,20.000,25.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,7: Sunday (Su-Su),0: All Day (12am-12am),505,16,19.002,0.863,9.000,13.000,20.000,22.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,7: Sunday (Su-Su),1: Early AM (12am-6am),53,18,19.002,0.933,9.000,14.000,21.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,7: Sunday (Su-Su),2: Peak AM (6am-10am),69,17,19.002,0.887,9.000,13.000,21.000,25.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,7: Sunday (Su-Su),3: Mid-Day (10am-3pm),151,16,19.002,0.824,9.000,12.000,19.000,22.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,7: Sunday (Su-Su),4: Peak PM (3pm-7pm),142,16,19.002,0.868,11.000,13.000,20.000,22.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-06,7: Sunday (Su-Su),5: Late PM (7pm-12am),90,16,19.002,0.863,11.000,13.000,20.000,21.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-07,0: All Days (M-Su),0: All Day (12am-12am),662,16,18.597,0.874,9.000,12.000,20.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-07,0: All Days (M-Su),1: Early AM (12am-6am),49,17,18.597,0.905,11.000,14.000,22.000,25.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-07,0: All Days (M-Su),2: Peak AM (6am-10am),111,17,18.597,0.887,9.000,12.000,20.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-07,0: All Days (M-Su),3: Mid-Day (10am-3pm),167,16,18.597,0.872,9.000,12.000,20.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-07,0: All Days (M-Su),4: Peak PM (3pm-7pm),208,16,18.597,0.875,10.000,13.000,20.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-07,0: All Days (M-Su),5: Late PM (7pm-12am),127,16,18.597,0.852,10.000,12.000,20.000,22.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-07,1: Monday (M-M),0: All Day (12am-12am),636,16,18.597,0.865,9.000,12.000,20.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-07,1: Monday (M-M),1: Early AM (12am-6am),47,18,18.597,0.977,14.000,15.000,24.000,31.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-07,1: Monday (M-M),2: Peak AM (6am-10am),129,17,18.597,0.899,10.000,12.000,20.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-07,1: Monday (M-M),3: Mid-Day (10am-3pm),171,16,18.597,0.850,8.000,11.000,20.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-07,1: Monday (M-M),4: Peak PM (3pm-7pm),212,16,18.597,0.853,10.000,12.000,19.000,21.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-07,1: Monday (M-M),5: Late PM (7pm-12am),77,15,18.597,0.805,9.000,11.000,18.000,20.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-07,2: Tuesday (Tu-Tu),0: All Day (12am-12am),699,16,18.597,0.861,8.000,12.000,20.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-07,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),34,16,18.597,0.869,3.000,9.000,20.000,20.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-07,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),129,16,18.597,0.844,8.000,10.000,21.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-07,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),197,16,18.597,0.870,7.000,11.000,21.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-07,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),223,16,18.597,0.861,8.000,12.000,20.000,22.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-07,2: Tuesday (Tu-Tu),5: Late PM (7pm-12am),116,16,18.597,0.862,10.000,13.000,20.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-07,3: Wednesday (W-W),0: All Day (12am-12am),711,16,18.597,0.864,10.000,12.000,20.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-07,3: Wednesday (W-W),1: Early AM (12am-6am),42,18,18.597,0.965,12.000,13.000,22.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,2023-07,3: Wednesday (W-W),2: Peak AM (6am-10am),119,16,18.597,0.886,10.000,12.000,20.000,24.000
