Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2023-06,0: All Days (M-Su),0: All Day (12am-12am),464,17,23.593,0.702,4.000,9.000,23.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2023-06,0: All Days (M-Su),1: Early AM (12am-6am),35,18,23.593,0.763,4.000,10.000,25.000,27.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2023-06,0: All Days (M-Su),2: Peak AM (6am-10am),89,17,23.593,0.711,4.000,7.000,23.000,27.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2023-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),133,16,23.593,0.699,4.000,9.000,22.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2023-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),128,16,23.593,0.696,4.000,8.000,23.000,27.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2023-06,0: All Days (M-Su),5: Late PM (7pm-12am),78,16,23.593,0.679,5.000,9.000,21.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2023-06,1: Monday (M-M),0: All Day (12am-12am),424,16,23.593,0.689,4.000,10.000,21.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2023-06,1: Monday (M-M),1: Early AM (12am-6am),37,19,23.593,0.799,4.000,13.000,19.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2023-06,1: Monday (M-M),2: Peak AM (6am-10am),85,16,23.593,0.688,4.000,9.000,22.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2023-06,1: Monday (M-M),3: Mid-Day (10am-3pm),95,18,23.593,0.758,5.000,11.000,21.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2023-06,1: Monday (M-M),4: Peak PM (3pm-7pm),143,15,23.593,0.631,4.000,7.000,21.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2023-06,1: Monday (M-M),5: Late PM (7pm-12am),64,15,23.593,0.656,6.000,12.000,20.000,27.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2023-06,2: Tuesday (Tu-Tu),0: All Day (12am-12am),463,17,23.593,0.728,4.000,9.000,23.000,27.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2023-06,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),37,17,23.593,0.716,5.000,5.000,26.000,35.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2023-06,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),95,19,23.593,0.798,5.000,11.000,24.000,25.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2023-06,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),137,17,23.593,0.736,4.000,7.000,25.000,29.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2023-06,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),125,16,23.593,0.683,3.000,9.000,23.000,27.000
