Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2021-06,0: All Days (M-Su),0: All Day (12am-12am),490,19,27.097,0.691,4.000,10.000,26.000,31.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2021-06,0: All Days (M-Su),1: Early AM (12am-6am),21,19,27.097,0.717,3.000,5.000,26.000,41.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2021-06,0: All Days (M-Su),2: Peak AM (6am-10am),77,20,27.097,0.736,5.000,11.000,27.000,32.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2021-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),139,18,27.097,0.680,4.000,10.000,26.000,30.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2021-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),160,19,27.097,0.719,5.000,11.000,26.000,31.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2021-06,0: All Days (M-Su),5: Late PM (7pm-12am),93,17,27.097,0.619,3.000,7.000,24.000,30.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2021-06,1: Monday (M-M),0: All Day (12am-12am),491,18,27.097,0.647,4.000,9.000,24.000,27.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2021-06,1: Monday (M-M),1: Early AM (12am-6am),33,20,27.097,0.742,N/A,N/A,N/A,N/A
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2021-06,1: Monday (M-M),2: Peak AM (6am-10am),89,17,27.097,0.622,5.000,5.000,25.000,27.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,East 31st Street,yes,270,yes,2021-06,1: Monday (M-M),3: Mid-Day (10am-3pm),107,16,27.097,0.605,4.000,5.000,24.000,28.000
