Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 13465004 / 1,0.16,yes,145,yes,2021-06,1: Weekday (M-Th),1: Early AM (12am-6am),36,16,35,19.252,0.856,5.67,0.05,9,23,27
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 13465004 / 1,0.16,yes,145,yes,2021-06,1: Weekday (M-Th),2: Peak AM (6am-10am),302,17,34,19.252,0.882,48.27,0.34,8,26,29
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 13465004 / 1,0.16,yes,145,yes,2021-06,1: Weekday (M-Th),3: Mid-Day (10am-3pm),622,17,34,19.252,0.881,99.37,0.7,8,25,29
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 13465004 / 1,0.16,yes,145,yes,2021-06,1: Weekday (M-Th),4: Peak PM (3pm-7pm),498,18,32,19.252,0.931,79.55,0.31,8,26,30
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 13465004 / 1,0.16,yes,145,yes,2021-06,1: Weekday (M-Th),5: Late PM (7pm-12am),307,17,33,19.252,0.892,49.11,0.31,7,26,29
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 13465004 / 1,0.16,yes,145,yes,2021-06,2: Friday (F-F),1: Early AM (12am-6am),44,16,35,19.252,0.844,7.02,0.07,10,22,29
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 13465004 / 1,0.16,yes,145,yes,2021-06,2: Friday (F-F),2: Peak AM (6am-10am),270,17,33,19.252,0.893,43.12,0.27,8,25,28
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 13465004 / 1,0.16,yes,145,yes,2021-06,2: Friday (F-F),3: Mid-Day (10am-3pm),648,18,33,19.252,0.91,103.49,0.53,8,26,29
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 13465004 / 1,0.16,yes,145,yes,2021-06,2: Friday (F-F),4: Peak PM (3pm-7pm),625,18,32,19.252,0.941,99.89,0.33,8,27,30
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 13465004 / 1,0.16,yes,145,yes,2021-06,2: Friday (F-F),5: Late PM (7pm-12am),436,16,36,19.252,0.826,69.67,0.76,7,24,27
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 13465004 / 1,0.16,yes,145,yes,2021-06,3: Weekend (Sa-Su),1: Early AM (12am-6am),136,15,38,19.252,0.783,21.68,0.31,7,24,27
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 13465004 / 1,0.16,yes,145,yes,2021-06,3: Weekend (Sa-Su),2: Peak AM (6am-10am),118,18,33,19.252,0.91,18.81,0.1,8,25,29
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 13465004 / 1,0.16,yes,145,yes,2021-06,3: Weekend (Sa-Su),3: Mid-Day (10am-3pm),496,18,32,19.252,0.92,79.24,0.36,8,26,30
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 13465004 / 1,0.16,yes,145,yes,2021-06,3: Weekend (Sa-Su),4: Peak PM (3pm-7pm),353,18,33,19.252,0.916,56.43,0.27,8,26,30
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 13465004 / 1,0.16,yes,145,yes,2021-06,3: Weekend (Sa-Su),5: Late PM (7pm-12am),318,16,35,19.252,0.846,50.76,0.48,7,24,29
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 136915189 / 1,0.089,yes,144,yes,2021-06,1: Weekday (M-Th),1: Early AM (12am-6am),30,17,19,19.91,0.84,2.72,0.03,10,22,24
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 136915189 / 1,0.089,yes,144,yes,2021-06,1: Weekday (M-Th),2: Peak AM (6am-10am),293,17,19,19.91,0.838,26.19,0.25,12,21,24
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 136915189 / 1,0.089,yes,144,yes,2021-06,1: Weekday (M-Th),3: Mid-Day (10am-3pm),628,16,20,19.91,0.829,56.23,0.58,12,20,23
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 136915189 / 1,0.089,yes,144,yes,2021-06,1: Weekday (M-Th),4: Peak PM (3pm-7pm),637,16,20,19.91,0.825,57.04,0.61,13,20,23
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 136915189 / 1,0.089,yes,144,yes,2021-06,1: Weekday (M-Th),5: Late PM (7pm-12am),296,17,19,19.91,0.868,26.51,0.2,13,21,24
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 136915189 / 1,0.089,yes,144,yes,2021-06,2: Friday (F-F),1: Early AM (12am-6am),22,18,18,19.91,0.882,2,0.01,N/A,N/A,N/A
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 136915189 / 1,0.089,yes,144,yes,2021-06,2: Friday (F-F),2: Peak AM (6am-10am),267,17,19,19.91,0.848,23.88,0.21,12,21,23
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 136915189 / 1,0.089,yes,144,yes,2021-06,2: Friday (F-F),3: Mid-Day (10am-3pm),700,17,19,19.91,0.835,62.64,0.62,12,21,24
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 136915189 / 1,0.089,yes,144,yes,2021-06,2: Friday (F-F),4: Peak PM (3pm-7pm),763,17,19,19.91,0.837,68.31,0.67,13,21,23
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 136915189 / 1,0.089,yes,144,yes,2021-06,2: Friday (F-F),5: Late PM (7pm-12am),410,17,19,19.91,0.865,36.65,0.29,13,21,25
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 136915189 / 1,0.089,yes,144,yes,2021-06,3: Weekend (Sa-Su),1: Early AM (12am-6am),101,18,18,19.91,0.891,9.07,0.06,14,22,25
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 136915189 / 1,0.089,yes,144,yes,2021-06,3: Weekend (Sa-Su),2: Peak AM (6am-10am),103,17,18,19.91,0.878,9.18,0.06,14,21,24
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 136915189 / 1,0.089,yes,144,yes,2021-06,3: Weekend (Sa-Su),3: Mid-Day (10am-3pm),491,17,19,19.91,0.871,43.95,0.33,14,21,24
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 136915189 / 1,0.089,yes,144,yes,2021-06,3: Weekend (Sa-Su),4: Peak PM (3pm-7pm),361,17,19,19.91,0.863,32.34,0.26,13,21,24
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 136915189 / 1,0.089,yes,144,yes,2021-06,3: Weekend (Sa-Su),5: Late PM (7pm-12am),310,17,19,19.91,0.839,27.75,0.27,13,21,24
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,Texas Avenue / 13380340 / 5,0.066,yes,235,yes,2021-06,1: Weekday (M-Th),1: Early AM (12am-6am),44,15,16,17.594,0.871,2.88,0.02,10,21,25
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,Texas Avenue / 13380340 / 5,0.066,yes,235,yes,2021-06,1: Weekday (M-Th),2: Peak AM (6am-10am),316,15,16,17.594,0.826,20.9,0.25,9,20,24
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,Texas Avenue / 13380340 / 5,0.066,yes,235,yes,2021-06,1: Weekday (M-Th),3: Mid-Day (10am-3pm),770,15,16,17.594,0.841,50.88,0.55,9,20,23
