Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2022-06,0: All Days (M-Su),0: All Day (12am-12am),1684,16,19.293,0.821,8.000,11.000,21.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2022-06,0: All Days (M-Su),1: Early AM (12am-6am),122,17,19.293,0.899,9.000,13.000,22.000,25.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2022-06,0: All Days (M-Su),2: Peak AM (6am-10am),306,16,19.293,0.816,7.000,10.000,21.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2022-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),420,16,19.293,0.831,8.000,11.000,21.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2022-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),509,16,19.293,0.808,7.000,10.000,21.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2022-06,0: All Days (M-Su),5: Late PM (7pm-12am),326,16,19.293,0.805,8.000,10.000,20.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2022-06,1: Monday (M-M),0: All Day (12am-12am),1752,16,19.293,0.837,8.000,11.000,21.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2022-06,1: Monday (M-M),1: Early AM (12am-6am),126,18,19.293,0.943,10.000,13.000,22.000,27.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2022-06,1: Monday (M-M),2: Peak AM (6am-10am),314,16,19.293,0.815,6.000,10.000,21.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2022-06,1: Monday (M-M),3: Mid-Day (10am-3pm),439,17,19.293,0.858,9.000,12.000,21.000,24.000
