Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2019-06,0: All Days (M-Su),0: All Day (12am-12am),1553,17,18.964,0.903,7.000,12.000,22.000,24.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2019-06,0: All Days (M-Su),1: Early AM (12am-6am),78,17,18.964,0.873,7.000,9.000,22.000,24.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2019-06,0: All Days (M-Su),2: Peak AM (6am-10am),283,18,18.964,0.924,7.000,12.000,23.000,25.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2019-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),358,18,18.964,0.925,7.000,12.000,22.000,25.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2019-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),541,17,18.964,0.906,7.000,12.000,21.000,24.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2019-06,0: All Days (M-Su),5: Late PM (7pm-12am),293,16,18.964,0.858,7.000,11.000,21.000,24.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2019-06,1: Monday (M-M),0: All Day (12am-12am),1520,17,18.964,0.910,8.000,12.000,22.000,25.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2019-06,1: Monday (M-M),1: Early AM (12am-6am),71,17,18.964,0.894,7.000,9.000,20.000,23.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2019-06,1: Monday (M-M),2: Peak AM (6am-10am),331,18,18.964,0.942,8.000,11.000,24.000,26.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2019-06,1: Monday (M-M),3: Mid-Day (10am-3pm),413,17,18.964,0.908,6.000,12.000,22.000,25.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2019-06,1: Monday (M-M),4: Peak PM (3pm-7pm),481,17,18.964,0.910,9.000,13.000,22.000,23.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2019-06,1: Monday (M-M),5: Late PM (7pm-12am),224,17,18.964,0.873,9.000,12.000,22.000,24.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2019-06,2: Tuesday (Tu-Tu),0: All Day (12am-12am),1830,17,18.964,0.901,8.000,12.000,22.000,24.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2019-06,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),68,13,18.964,0.680,N/A,N/A,N/A,N/A
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2019-06,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),420,18,18.964,0.939,7.000,13.000,23.000,25.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2019-06,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),349,18,18.964,0.970,10.000,14.000,23.000,25.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2019-06,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),737,17,18.964,0.893,7.000,12.000,21.000,24.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2019-06,2: Tuesday (Tu-Tu),5: Late PM (7pm-12am),256,16,18.964,0.825,6.000,11.000,20.000,23.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2019-06,3: Wednesday (W-W),0: All Day (12am-12am),1751,17,18.964,0.888,7.000,12.000,22.000,24.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2019-06,3: Wednesday (W-W),1: Early AM (12am-6am),64,17,18.964,0.918,N/A,N/A,N/A,N/A
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2019-06,3: Wednesday (W-W),2: Peak AM (6am-10am),377,17,18.964,0.894,9.000,12.000,22.000,24.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2019-06,3: Wednesday (W-W),3: Mid-Day (10am-3pm),356,18,18.964,0.927,7.000,12.000,22.000,24.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2019-06,3: Wednesday (W-W),4: Peak PM (3pm-7pm),662,17,18.964,0.882,7.000,12.000,21.000,23.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2019-06,3: Wednesday (W-W),5: Late PM (7pm-12am),292,16,18.964,0.844,6.000,11.000,21.000,23.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2019-06,4: Thursday (Th-Th),0: All Day (12am-12am),1862,18,18.964,0.928,8.000,13.000,22.000,25.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2019-06,4: Thursday (Th-Th),1: Early AM (12am-6am),46,16,18.964,0.866,N/A,N/A,N/A,N/A
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2019-06,4: Thursday (Th-Th),2: Peak AM (6am-10am),345,18,18.964,0.951,9.000,12.000,22.000,26.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2019-06,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),377,18,18.964,0.973,9.000,14.000,23.000,26.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2019-06,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),762,17,18.964,0.908,8.000,13.000,21.000,25.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2019-06,4: Thursday (Th-Th),5: Late PM (7pm-12am),331,17,18.964,0.908,9.000,13.000,22.000,24.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2019-06,5: Friday (F-F),0: All Day (12am-12am),2164,17,18.964,0.910,7.000,12.000,22.000,25.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2019-06,5: Friday (F-F),1: Early AM (12am-6am),68,17,18.964,0.922,N/A,N/A,N/A,N/A
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2019-06,5: Friday (F-F),2: Peak AM (6am-10am),420,17,18.964,0.913,7.000,12.000,22.000,25.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2019-06,5: Friday (F-F),3: Mid-Day (10am-3pm),445,17,18.964,0.917,9.000,12.000,22.000,24.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2019-06,5: Friday (F-F),4: Peak PM (3pm-7pm),755,18,18.964,0.930,8.000,13.000,22.000,25.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2019-06,5: Friday (F-F),5: Late PM (7pm-12am),477,16,18.964,0.866,5.000,10.000,21.000,25.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2019-06,6: Saturday (Sa-Sa),0: All Day (12am-12am),1203,17,18.964,0.882,7.000,11.000,22.000,25.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2019-06,6: Saturday (Sa-Sa),1: Early AM (12am-6am),107,16,18.964,0.865,7.000,9.000,22.000,37.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2019-06,6: Saturday (Sa-Sa),2: Peak AM (6am-10am),107,18,18.964,0.928,5.000,10.000,25.000,26.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2019-06,6: Saturday (Sa-Sa),3: Mid-Day (10am-3pm),340,17,18.964,0.904,6.000,11.000,22.000,24.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2019-06,6: Saturday (Sa-Sa),4: Peak PM (3pm-7pm),319,17,18.964,0.912,6.000,12.000,22.000,26.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2019-06,6: Saturday (Sa-Sa),5: Late PM (7pm-12am),330,16,18.964,0.822,7.000,10.000,20.000,22.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,East 41st Place,yes,88,yes,2019-06,7: Sunday (Su-Su),0: All Day (12am-12am),814,17,18.964,0.896,6.000,11.000,22.000,24.000
