Intersection,Pre_Mean,Post_Mean,Pre_Max_85th,Post_Max_85th,T_Statistic,P_Value,Pre_Volume,Post_Volume,Combined_Volume
Oakwood Ave & Hayworth Ave,14.200453235686169,14.034471568440013,35.0,33.0,3.3647639988077866,0.0007846981767581931,833913,804416,1638329
Texas Ave & Westgate Ave,13.928610749912204,13.555287303276364,48.0,25.0,9.205997592525545,1.0088648960402274e-19,633167,787544,1420711
Romaine St & Serrano Ave,15.260356865787433,13.893222383598804,34.0,29.0,21.580285652567003,6.312172094058119e-90,412085,333406,745491
Nebraska Ave & Purdue Ave,16.028770166541545,15.0753878827463,44.0,35.0,21.649577066681005,7.495403224003133e-92,326345,462382,788727
Cimarron St & 29th St,16.908614187141577,16.05146952775705,32.0,31.0,27.25930072788404,1.3202323849548226e-135,315793,318946,634739
St Andrews Pl & 29th St,16.65328590151657,15.925464963779916,32.0,27.0,25.837465811768958,3.6910254842642398e-121,246066,228747,474813
Woodlawn Ave & 41st Pl,16.962371999663244,15.68318638754811,32.0,32.0,18.087793202255348,1.0683568478510024e-65,466789,491131,957920
Rosewood Ave & Martel Ave,15.960321316360574,15.414131875987225,26.0,24.0,31.728680036157712,5.26906529154571e-170,866151,869035,1735186
St Andrews Pl & 31st,17.130274514941124,16.095266202784053,37.0,36.0,31.67577017511553,1.412046131596071e-172,274812,264291,539103
Buchanan St & Nolden St,16.206961077844312,15.035572049239681,29.0,39.0,6.385724695973153,2.127291867309671e-07,2672,33249,35921
5th Ave & 30th St,17.96812942504361,16.776646022209523,35.0,34.0,27.859072708014555,4.0980703070009205e-134,152485,134189,286674
Ellenwood Dr & Addison Way,18.766212365683682,15.303956671403213,43.0,46.0,40.053986262540285,7.390457299784966e-191,240770,235942,476712
Avenue 50 & Meridian St,16.375894815569005,14.129798127171924,28.0,26.0,44.22124645359517,1.6656839689782323e-170,159163,113170,272333
Neptune & F Ave,16.859289336893497,15.754036690944071,36.0,29.0,26.995811659059342,4.151902995502367e-97,63621,58396,122017
Neptune & G Ave,15.981633146263526,14.919834160065152,27.0,29.0,25.14813877376653,1.959773865425836e-88,74916,67949,142865
McKinley Ave & E. 88th Pl,16.905292631590473,15.920569103276206,40.0,37.0,35.208112107310185,1.4747526272962223e-202,367309,337190,704499
